corpus_item_id,sheet_row,corpus_id,item_id,task,answer,assessment_stage,block_index,chance_level,image,item,item_uid,prompt,randomize,required_selections,response_alternatives,time_limit,trial_num,trial_type,audio_file,row,downex,difficulty,discrimination,block_threshold,story_group
vocab-es-CO-v1 bouquet,vocab-es-CO-v1_12,vocab-es-CO-v1,bouquet,vocab,bouquet,test_response,1,0.25,,bouquet,vocab_word_bouquet,,,,"flowerpot,centerpiece,submarine",,,test,vocab-item-009,12,,-2.7540,1,,
vocab-es-CO-v1 buffet,vocab-es-CO-v1_13,vocab-es-CO-v1,buffet,vocab,buffet,test_response,1,0.25,,buffet,vocab_word_buffet,,,,"counter,crib,rhubarb",,,test,vocab-item-010,13,,0.1826,1,,
vocab-es-CO-v1 bulldozer,vocab-es-CO-v1_14,vocab-es-CO-v1,bulldozer,vocab,bulldozer,test_response,1,0.25,,bulldozer,vocab_word_bulldozer,,,,"orange,tractor,eggplant",,,test,vocab-item-011,14,,-2.1016,1,,
vocab-es-CO-v1 cake,vocab-es-CO-v1_15,vocab-es-CO-v1,cake,vocab,cake,test_response,1,0.25,,cake,vocab_word_cake,,,,"dessert,refrigerator,battery",,,test,vocab-item-012,15,,-3.1011,1,,
vocab-es-CO-v1 caramel,vocab-es-CO-v1_16,vocab-es-CO-v1,caramel,vocab,caramel,test_response,1,0.25,,caramel,vocab_word_caramel,,,,"amber,olive,warthog",,,test,vocab-item-013,16,,-0.4744,1,,
vocab-es-CO-v1 carousel,vocab-es-CO-v1_17,vocab-es-CO-v1,carousel,vocab,carousel,test_response,1,0.25,,carousel,vocab_word_carousel,,,,"carriage,dish,melon",,,test,vocab-item-014,17,,1.1389,1,,
vocab-es-CO-v1 carrot,vocab-es-CO-v1_18,vocab-es-CO-v1,carrot,vocab,carrot,test_response,1,0.25,,carrot,vocab_word_carrot,,,,"phone,vegetable,bathtub",,,test,vocab-item-015,18,,-3.8977,1,,
vocab-es-CO-v1 cassette,vocab-es-CO-v1_19,vocab-es-CO-v1,cassette,vocab,cassette,test_response,1,0.25,,cassette,vocab_word_cassette,,,,"book,tape,hammock",,,test,vocab-item-016,19,,-0.3651,1,,
vocab-es-CO-v1 cheese,vocab-es-CO-v1_20,vocab-es-CO-v1,cheese,vocab,cheese,test_response,1,0.25,,cheese,vocab_word_cheese,,,,"butter,mud,hippopotamus",,,test,vocab-item-017,20,,1.4873,1,,
vocab-es-CO-v1 cloak,vocab-es-CO-v1_21,vocab-es-CO-v1,cloak,vocab,cloak,test_response,1,0.25,,cloak,vocab_word_cloak,,,,"cinnamon,hood,jellyfish",,,test,vocab-item-018,21,,6.1972,1,,
vocab-es-CO-v1 clothespin,vocab-es-CO-v1_22,vocab-es-CO-v1,clothespin,vocab,clothespin,test_response,1,0.25,,clothespin,vocab_word_clothespin,,,,"toothpick,volleyball,hanger",,,test,vocab-item-019,22,,-3.2563,1,,
vocab-es-CO-v1 coaster,vocab-es-CO-v1_23,vocab-es-CO-v1,coaster,vocab,coaster,test_response,1,0.25,,coaster,vocab_word_coaster,,,,"card,tablecloth,hummingbird",,,test,vocab-item-020,23,,-0.9875,1,,
vocab-es-CO-v1 cork,vocab-es-CO-v1_24,vocab-es-CO-v1,cork,vocab,cork,test_response,1,0.25,,cork,vocab_word_cork,,,,"jersey,skateboard,mascara",,,test,vocab-item-021,24,,-0.8489,1,,
vocab-es-CO-v1 cornbread,vocab-es-CO-v1_25,vocab-es-CO-v1,cornbread,vocab,cornbread,test_response,1,0.25,,cornbread,vocab_word_cornbread,,,,"corn,wreath,organ",,,test,vocab-item-022,25,,-0.9130,1,,
vocab-es-CO-v1 corset,vocab-es-CO-v1_26,vocab-es-CO-v1,corset,vocab,corset,test_response,1,0.25,,corset,vocab_word_corset,,,,"harness,mantle,bonsai",,,test,vocab-item-023,26,,1.8639,1,,
vocab-es-CO-v1 dumpling,vocab-es-CO-v1_27,vocab-es-CO-v1,dumpling,vocab,dumpling,test_response,1,0.25,,dumpling,vocab_word_dumpling,,,,"meatball,rocket,coyote",,,test,vocab-item-024,27,,2.3124,1,,
vocab-es-CO-v1 elbow,vocab-es-CO-v1_28,vocab-es-CO-v1,elbow,vocab,elbow,test_response,1,0.25,,elbow,vocab_word_elbow,,,,"arm,bed,gorilla",,,test,vocab-item-025,28,,-1.3280,1,,
vocab-es-CO-v1 fan,vocab-es-CO-v1_29,vocab-es-CO-v1,fan,vocab,fan,test_response,1,0.25,,fan,vocab_word_fan,,,,"album,boulder,chipmunk",,,test,vocab-item-026,29,,-3.5865,1,,
vocab-es-CO-v1 foam,vocab-es-CO-v1_30,vocab-es-CO-v1,foam,vocab,foam,test_response,1,0.25,,foam,vocab_word_foam,,,,"float,quilt,asparagus",,,test,vocab-item-027,30,,-1.8990,1,,
vocab-es-CO-v1 footbath,vocab-es-CO-v1_31,vocab-es-CO-v1,footbath,vocab,footbath,test_response,1,0.25,,footbath,vocab_word_footbath,,,,"trough,vest,rhinoceros",,,test,vocab-item-028,31,,-3.5277,1,,
vocab-es-CO-v1 fruitcake,vocab-es-CO-v1_32,vocab-es-CO-v1,fruitcake,vocab,fruitcake,test_response,1,0.25,,fruitcake,vocab_word_fruitcake,,,,"dough,fudge,anvil",,,test,vocab-item-029,32,,-2.3602,1,,
vocab-es-CO-v1 gutter,vocab-es-CO-v1_33,vocab-es-CO-v1,gutter,vocab,gutter,test_response,1,0.25,,gutter,vocab_word_gutter,,,,"almond,filter,roofwindow",,,test,vocab-item-030,33,,1.5996,1,,
vocab-es-CO-v1 hamster,vocab-es-CO-v1_34,vocab-es-CO-v1,hamster,vocab,hamster,test_response,1,0.25,,hamster,vocab_word_hamster,,,,"rabbit,tadpole,skirt",,,test,vocab-item-031,34,,-1.9562,1,,
vocab-es-CO-v1 hedgehog,vocab-es-CO-v1_35,vocab-es-CO-v1,hedgehog,vocab,hedgehog,test_response,1,0.25,,hedgehog,vocab_word_hedgehog,,,,"iguana,owl,dumbwaiter",,,test,vocab-item-032,35,,-3.4687,1,,
vocab-es-CO-v1 hoe,vocab-es-CO-v1_36,vocab-es-CO-v1,hoe,vocab,hoe,test_response,1,0.25,,hoe,vocab_word_hoe,,,,"dustpan,peg,beaker",,,test,vocab-item-033,36,,2.1343,1,,
vocab-es-CO-v1 hopscotch,vocab-es-CO-v1_37,vocab-es-CO-v1,hopscotch,vocab,hopscotch,test_response,1,0.25,,hopscotch,vocab_word_hopscotch,,,,"chalk,funnel,jug",,,test,vocab-item-034,37,,1.2712,1,,
vocab-es-CO-v1 kimono,vocab-es-CO-v1_38,vocab-es-CO-v1,kimono,vocab,kimono,test_response,1,0.25,,kimono,vocab_word_kimono,,,,"cardigan,turntable,cable",,,test,vocab-item-035,38,,1.0808,1,,
vocab-es-CO-v1 latch,vocab-es-CO-v1_39,vocab-es-CO-v1,latch,vocab,latch,test_response,1,0.25,,latch,vocab_word_latch,,,,"lock,microwave,umbrella",,,test,vocab-item-036,39,,1.8245,1,,
vocab-es-CO-v1 locker,vocab-es-CO-v1_40,vocab-es-CO-v1,locker,vocab,locker,test_response,1,0.25,,locker,vocab_word_locker,,,,"basket,cabinet,gargoyle",,,test,vocab-item-037,40,,-2.0428,1,,
vocab-es-CO-v1 lollipop,vocab-es-CO-v1_41,vocab-es-CO-v1,lollipop,vocab,lollipop,test_response,1,0.25,,lollipop,vocab_word_lollipop,,,,"candy,doorbell,crumb",,,test,vocab-item-038,41,,-3.0438,1,,
vocab-es-CO-v1 map,vocab-es-CO-v1_42,vocab-es-CO-v1,map,vocab,map,test_response,1,0.25,,map,vocab_word_map,,,,"marker,ruby,dishwasher",,,test,vocab-item-039,42,,-2.1789,1,,
vocab-es-CO-v1 marshmallow,vocab-es-CO-v1_43,vocab-es-CO-v1,marshmallow,vocab,marshmallow,test_response,1,0.25,,marshmallow,vocab_word_marshmallow,,,,"dryer,snowball,rooster",,,test,vocab-item-040,43,,-3.2035,1,,
vocab-es-CO-v1 net,vocab-es-CO-v1_44,vocab-es-CO-v1,net,vocab,net,test_response,1,0.25,,net,vocab_word_net,,,,"domino,tee,hydrant",,,test,vocab-item-041,44,,-2.2126,1,,
vocab-es-CO-v1 oil,vocab-es-CO-v1_45,vocab-es-CO-v1,oil,vocab,oil,test_response,1,0.25,,oil,vocab_word_oil,,,,"gel,grain,bassinet",,,test,vocab-item-042,45,,-2.2524,1,,
vocab-es-CO-v1 omelet,vocab-es-CO-v1_46,vocab-es-CO-v1,omelet,vocab,omelet,test_response,1,0.25,,omelet,vocab_word_omelet,,,,"clay,pancake,trunk",,,test,vocab-item-043,46,,1.3648,1,,
vocab-es-CO-v1 pie,vocab-es-CO-v1_47,vocab-es-CO-v1,pie,vocab,pie,test_response,1,0.25,,pie,vocab_word_pie,,,,"flashlight,pizza,sweater",,,test,vocab-item-044,47,,-1.7420,1,,
vocab-es-CO-v1 pistachio,vocab-es-CO-v1_48,vocab-es-CO-v1,pistachio,vocab,pistachio,test_response,1,0.25,,pistachio,vocab_word_pistachio,,,,"avocado,taco,bagpipe",,,test,vocab-item-045,48,,0.7387,1,,
vocab-es-CO-v1 pitcher,vocab-es-CO-v1_49,vocab-es-CO-v1,pitcher,vocab,pitcher,test_response,1,0.25,,pitcher,vocab_word_pitcher,,,,"batter,tumbleweed,medal",,,test,vocab-item-046,49,,-1.4657,1,,
vocab-es-CO-v1 potato,vocab-es-CO-v1_50,vocab-es-CO-v1,potato,vocab,potato,test_response,1,0.25,,potato,vocab_word_potato,,,,"glasses,pot,dragonfly",,,test,vocab-item-047,50,,-2.3125,1,,
vocab-es-CO-v1 prism,vocab-es-CO-v1_51,vocab-es-CO-v1,prism,vocab,prism,test_response,1,0.25,,prism,vocab_word_prism,,,,"radar,subway,chinchilla",,,test,vocab-item-048,51,,0.4909,1,,
vocab-es-CO-v1 puddle,vocab-es-CO-v1_52,vocab-es-CO-v1,puddle,vocab,puddle,test_response,1,0.25,,puddle,vocab_word_puddle,,,,"baseball,bubble,salami",,,test,vocab-item-049,52,,-2.6104,1,,
vocab-es-CO-v1 pump,vocab-es-CO-v1_53,vocab-es-CO-v1,pump,vocab,pump,test_response,1,0.25,,pump,vocab_word_pump,,,,"coat,plug,scarf",,,test,vocab-item-050,53,,-3.1206,1,,
vocab-es-CO-v1 rice,vocab-es-CO-v1_54,vocab-es-CO-v1,rice,vocab,rice,test_response,1,0.25,,rice,vocab_word_rice,,,,"box,corn,bedpost",,,test,vocab-item-051,54,,-3.2552,1,,
vocab-es-CO-v1 saddle,vocab-es-CO-v1_55,vocab-es-CO-v1,saddle,vocab,saddle,test_response,1,0.25,,saddle,vocab_word_saddle,,,,"figurine,dogharness,broccoli",,,test,vocab-item-052,55,,-3.3182,1,,
vocab-es-CO-v1 sandbag,vocab-es-CO-v1_56,vocab-es-CO-v1,sandbag,vocab,sandbag,test_response,1,0.25,,sandbag,vocab_word_sandbag,,,,"sandbox,valve,octopus",,,test,vocab-item-053,56,,-2.4042,1,,
vocab-es-CO-v1 scaffolding,vocab-es-CO-v1_57,vocab-es-CO-v1,scaffolding,vocab,scaffolding,test_response,1,0.25,,scaffolding,vocab_word_scaffolding,,,,"satellite,veil,antelope",,,test,vocab-item-054,57,,2.0578,1,,
vocab-es-CO-v1 scoop,vocab-es-CO-v1_58,vocab-es-CO-v1,scoop,vocab,scoop,test_response,1,0.25,,scoop,vocab_word_scoop,,,,"sauce,statue,cauliflower",,,test,vocab-item-055,58,,-2.4319,1,,
vocab-es-CO-v1 seagull,vocab-es-CO-v1_59,vocab-es-CO-v1,seagull,vocab,seagull,test_response,1,0.25,,seagull,vocab_word_seagull,,,,"lobster,pigeon,perfume",,,test,vocab-item-056,59,,-2.5194,1,,
vocab-es-CO-v1 ship,vocab-es-CO-v1_60,vocab-es-CO-v1,ship,vocab,ship,test_response,1,0.25,,ship,vocab_word_ship,,,,"boat,nose,zucchini",,,test,vocab-item-057,60,,0.0179,1,,
vocab-es-CO-v1 shower,vocab-es-CO-v1_61,vocab-es-CO-v1,shower,vocab,shower,test_response,1,0.25,,shower,vocab_word_shower,,,,"soap,toe,cantaloupe",,,test,vocab-item-058,61,,-3.2147,1,,
vocab-es-CO-v1 silverware,vocab-es-CO-v1_62,vocab-es-CO-v1,silverware,vocab,silverware,test_response,1,0.25,,silverware,vocab_word_silverware,,,,"garlic,trophy,eggnog",,,test,vocab-item-059,62,,-1.2916,1,,
vocab-es-CO-v1 sink,vocab-es-CO-v1_63,vocab-es-CO-v1,sink,vocab,sink,test_response,1,0.25,,sink,vocab_word_sink,,,,"laundrybasket,toilet,knitting",,,test,vocab-item-060,63,,-0.1573,1,,
vocab-es-CO-v1 ski,vocab-es-CO-v1_64,vocab-es-CO-v1,ski,vocab,ski,test_response,1,0.25,,ski,vocab_word_ski,,,,"ice,suitcase,pincushion",,,test,vocab-item-061,64,,-0.1970,1,,
vocab-es-CO-v1 sloth,vocab-es-CO-v1_65,vocab-es-CO-v1,sloth,vocab,sloth,test_response,1,0.25,,sloth,vocab_word_sloth,,,,"clam,donkey,incense",,,test,vocab-item-062,65,,-2.9265,1,,
vocab-es-CO-v1 snail,vocab-es-CO-v1_66,vocab-es-CO-v1,snail,vocab,snail,test_response,1,0.25,,snail,vocab_word_snail,,,,"cow,worm,visor",,,test,vocab-item-063,66,,-3.6201,1,,
vocab-es-CO-v1 spatula,vocab-es-CO-v1_68,vocab-es-CO-v1,spatula,vocab,spatula,test_response,1,0.25,,spatula,vocab_word_spatula,,,,"pan,paddle,pheasant",,,test,vocab-item-065,68,,-0.3483,1,,
vocab-es-CO-v1 sprinkler,vocab-es-CO-v1_69,vocab-es-CO-v1,sprinkler,vocab,sprinkler,test_response,1,0.25,,sprinkler,vocab_word_sprinkler,,,,"flower,sparkler,charcoal",,,test,vocab-item-066,69,,0.3595,1,,
vocab-es-CO-v1 squash,vocab-es-CO-v1_70,vocab-es-CO-v1,squash,vocab,squash,test_response,1,0.25,,squash,vocab_word_squash,,,,"branch,pumpkin,gazelle",,,test,vocab-item-067,70,,,,,
vocab-es-CO-v1 squirrel,vocab-es-CO-v1_71,vocab-es-CO-v1,squirrel,vocab,squirrel,test_response,1,0.25,,squirrel,vocab_word_squirrel,,,,"eagle,monkey,shorts",,,test,vocab-item-068,71,,-3.2724,1,,
vocab-es-CO-v1 stew,vocab-es-CO-v1_72,vocab-es-CO-v1,stew,vocab,stew,test_response,1,0.25,,stew,vocab_word_stew,,,,"pan,soup,orchid",,,test,vocab-item-069,72,,-0.4153,1,,
vocab-es-CO-v1 rubber_band,vocab-es-CO-v1_73,vocab-es-CO-v1,rubber_band,vocab,rubber band,test_response,1,0.25,,rubber band,vocab_word_rubberband,,,,"drill,thermostat,vase",,,test,vocab-item-070,73,,-1.2780,1,,
vocab-es-CO-v1 stump,vocab-es-CO-v1_74,vocab-es-CO-v1,stump,vocab,stump,test_response,1,0.25,,stump,vocab_word_stump,,,,"bookshelf,log,showerhead",,,test,vocab-item-071,74,,2.6967,1,,
vocab-es-CO-v1 sunflower,vocab-es-CO-v1_75,vocab-es-CO-v1,sunflower,vocab,sunflower,test_response,1,0.25,,sunflower,vocab_word_sunflower,,,,"pineapple,rim,pinball",,,test,vocab-item-072,75,,-2.2578,1,,
vocab-es-CO-v1 swordfish,vocab-es-CO-v1_76,vocab-es-CO-v1,swordfish,vocab,swordfish,test_response,1,0.25,,swordfish,vocab_word_swordfish,,,,"catfish,leopard,graffiti",,,test,vocab-item-073,76,,1.6240,1,,
vocab-es-CO-v1 tapestry,vocab-es-CO-v1_77,vocab-es-CO-v1,tapestry,vocab,tapestry,test_response,1,0.25,,tapestry,vocab_word_tapestry,,,,"backdrop,brickwall,forklift",,,test,vocab-item-074,77,,2.4138,1,,
vocab-es-CO-v1 teabag,vocab-es-CO-v1_78,vocab-es-CO-v1,teabag,vocab,teabag,test_response,1,0.25,,teabag,vocab_word_teabag,,,,"fingerprint,tea,braid",,,test,vocab-item-075,78,,-0.6121,1,,
vocab-es-CO-v1 telescope,vocab-es-CO-v1_79,vocab-es-CO-v1,telescope,vocab,telescope,test_response,1,0.25,,telescope,vocab_word_telescope,,,,"tripod,windshield,anklet",,,test,vocab-item-076,79,,-2.2057,1,,
vocab-es-CO-v1 thermos,vocab-es-CO-v1_80,vocab-es-CO-v1,thermos,vocab,thermos,test_response,1,0.25,,thermos,vocab_word_thermos,,,,"firewood,teapot,coral",,,test,vocab-item-077,80,,-2.8063,1,,
vocab-es-CO-v1 treasure,vocab-es-CO-v1_81,vocab-es-CO-v1,treasure,vocab,treasure,test_response,1,0.25,,treasure,vocab_word_treasure,,,,"gift,rope,lamp",,,test,vocab-item-078,81,,-0.9361,1,,
vocab-es-CO-v1 trumpet,vocab-es-CO-v1_82,vocab-es-CO-v1,trumpet,vocab,trumpet,test_response,1,0.25,,trumpet,vocab_word_trumpet,,,,"flute,violin,coleslaw",,,test,vocab-item-079,82,,-2.8625,1,,
vocab-es-CO-v1 tulip,vocab-es-CO-v1_83,vocab-es-CO-v1,tulip,vocab,tulip,test_response,1,0.25,,tulip,vocab_word_tulip,,,,"glove,rose,hubcap",,,test,vocab-item-080,83,,0.9871,1,,
vocab-es-CO-v1 turbine,vocab-es-CO-v1_84,vocab-es-CO-v1,turbine,vocab,turbine,test_response,1,0.25,,turbine,vocab_word_turbine,,,,"generator,tab,pesto",,,test,vocab-item-081,84,,0.4801,1,,
vocab-es-CO-v1 turkey,vocab-es-CO-v1_85,vocab-es-CO-v1,turkey,vocab,turkey,test_response,1,0.25,,turkey,vocab_word_turkey,,,,"goat,swan,pencil",,,test,vocab-item-082,85,,-1.1118,1,,
vocab-es-CO-v1 turtle,vocab-es-CO-v1_86,vocab-es-CO-v1,turtle,vocab,turtle,test_response,1,0.25,,turtle,vocab_word_turtle,,,,"frog,horse,railing",,,test,vocab-item-083,86,,-3.3815,1,,
vocab-es-CO-v1 typewriter,vocab-es-CO-v1_87,vocab-es-CO-v1,typewriter,vocab,typewriter,test_response,1,0.25,,typewriter,vocab_word_typewriter,,,,"printer,sunglasses,drumstick",,,test,vocab-item-084,87,,-0.3724,1,,
vocab-es-CO-v1 watermelon,vocab-es-CO-v1_88,vocab-es-CO-v1,watermelon,vocab,watermelon,test_response,1,0.25,,watermelon,vocab_word_watermelon,,,,"screwdriver,strawberry,crane",,,test,vocab-item-085,88,,-3.4542,1,,
vocab-es-CO-v1 waterwheel,vocab-es-CO-v1_89,vocab-es-CO-v1,waterwheel,vocab,waterwheel,test_response,1,0.25,,waterwheel,vocab_word_waterwheel,,,,"pinwheel,target,boa",,,test,vocab-item-086,89,,0.0834,1,,
vocab-es-CO-v1 ant,vocab-es-CO-v1_90,vocab-es-CO-v1,ant,vocab,ant,test_response,1,0.25,,ant,vocab_word_ant,,,,"muffin,raspberry,mint",,,catch,vocab-item-087,90,,-3.4456,1,,
vocab-es-CO-v1 ball,vocab-es-CO-v1_91,vocab-es-CO-v1,ball,vocab,ball,test_response,1,0.25,,ball,vocab_word_ball,,,,"pen,peach,snack",,,catch,vocab-item-088,91,,-2.8178,1,,
vocab-es-CO-v1 bear,vocab-es-CO-v1_92,vocab-es-CO-v1,bear,vocab,bear,test_response,1,0.25,,bear,vocab_word_bear,,,,"mirror,saw,bell",,,catch,vocab-item-089,92,,-3.7883,1,,
vocab-es-CO-v1 duck,vocab-es-CO-v1_93,vocab-es-CO-v1,duck,vocab,duck,test_response,1,0.25,,duck,vocab_word_duck,,,,"tongue,ladder,snake",,,practice,vocab-item-090,93,,,,,
vocab-es-CO-v1 fork,vocab-es-CO-v1_94,vocab-es-CO-v1,fork,vocab,fork,test_response,1,0.25,,fork,vocab_word_fork,,,,"crow,wagon,bead",,,practice,vocab-item-091,94,,,,,
vocab-es-CO-v1 kitten,vocab-es-CO-v1_95,vocab-es-CO-v1,kitten,vocab,kitten,test_response,1,0.25,,kitten,vocab_word_kitten,,,,"wrist,pillow,mattress",,,practice,vocab-item-092,95,,,,,
vocab-es-CO-v1 knee,vocab-es-CO-v1_96,vocab-es-CO-v1,knee,vocab,knee,test_response,1,0.25,,knee,vocab_word_knee,,,,"face,leash,sock",,,practice,vocab-item-093,96,,,,,
vocab-es-CO-v1 milkshake,vocab-es-CO-v1_97,vocab-es-CO-v1,milkshake,vocab,milkshake,test_response,1,0.25,,milkshake,vocab_word_milkshake,,,,"pan,needle,gate",,,practice,vocab-item-094,97,,,,,
vocab-es-CO-v1 skin,vocab-es-CO-v1_98,vocab-es-CO-v1,skin,vocab,skin,test_response,1,0.25,,skin,vocab_word_skin,,,,"cardboard,drum,clock",,,practice,vocab-item-095,98,,,,,
vocab-es-CO-v1 wall,vocab-es-CO-v1_99,vocab-es-CO-v1,wall,vocab,wall,test_response,1,0.25,,wall,vocab_word_wall,,,,"knob,sponge,robot",,,practice,vocab-item-096,99,,,,,
vocab-es-CO-v1 wheel,vocab-es-CO-v1_100,vocab-es-CO-v1,wheel,vocab,wheel,test_response,1,0.25,,wheel,vocab_word_wheel,,,,"fish,bowl,meat",,,practice,vocab-item-097,100,,,,,
vocab-es-CO-v1 farm,vocab-es-CO-v1_101,vocab-es-CO-v1,farm,vocab,farm,test_response,1,0.25,,farm,vocab_word_farm,,,,"zoo,park,forest",,,test,vocab-item-098,101,,-0.8182,1,,
vocab-es-CO-v1 juggling,vocab-es-CO-v1_102,vocab-es-CO-v1,juggling,vocab,juggling,test_response,1,0.25,,juggling,vocab_word_juggling,,,,"running,biking,playing",,,test,vocab-item-099,102,,-2.5699,1,,
vocab-es-CO-v1 dressing,vocab-es-CO-v1_103,vocab-es-CO-v1,dressing,vocab,dressing,test_response,1,0.25,,dressing,vocab_word_dressing,,,,"juice,ketchup,flour",,,test,vocab-item-100,103,,2.1803,1,,
vocab-es-CO-v1 roof,vocab-es-CO-v1_104,vocab-es-CO-v1,roof,vocab,roof,test_response,1,0.25,,roof,vocab_word_roof,,,,"stairs,door,fence",,,test,vocab-item-101,104,,-2.3503,1,,
vocab-es-CO-v1 peeking,vocab-es-CO-v1_105,vocab-es-CO-v1,peeking,vocab,peeking,test_response,1,0.25,,peeking,vocab_word_peeking,,,,"reading,playing,surfing",,,test,vocab-item-102,105,,-0.5685,1,,
vocab-es-CO-v1 ruler,vocab-es-CO-v1_106,vocab-es-CO-v1,ruler,vocab,ruler,test_response,1,0.25,,ruler,vocab_word_ruler,,,,"measuringtape,compass,caliper",,,test,vocab-item-103,106,,-1.5090,1,,
vocab-es-CO-v1 tunnel,vocab-es-CO-v1_107,vocab-es-CO-v1,tunnel,vocab,tunnel,test_response,1,0.25,,tunnel,vocab_word_tunnel,,,,"pathway,waterway,cavern",,,test,vocab-item-104,107,,-1.5269,1,,
vocab-es-CO-v1 envelope,vocab-es-CO-v1_108,vocab-es-CO-v1,envelope,vocab,envelope,test_response,1,0.25,,envelope,vocab_word_envelope,,,,"checkbook,stamp,notecard",,,test,vocab-item-105,108,,-1.3314,1,,
vocab-es-CO-v1 diamond,vocab-es-CO-v1_109,vocab-es-CO-v1,diamond,vocab,diamond,test_response,1,0.25,,diamond,vocab_word_diamond,,,,"ring,emerald,amethyst",,,test,vocab-item-106,109,,-0.7868,1,,
vocab-es-CO-v1 calendar,vocab-es-CO-v1_110,vocab-es-CO-v1,calendar,vocab,calendar,test_response,1,0.25,,calendar,vocab_word_calendar,,,,"hourglass,sundial,notebook",,,test,vocab-item-107,110,,-0.8815,1,,
vocab-es-CO-v1 panda,vocab-es-CO-v1_111,vocab-es-CO-v1,panda,vocab,panda,test_response,1,0.25,,panda,vocab_word_panda,,,,"koala,pig,zebra",,,test,vocab-item-108,111,,-1.6433,1,,
vocab-es-CO-v1 arrow,vocab-es-CO-v1_112,vocab-es-CO-v1,arrow,vocab,arrow,test_response,1,0.25,,arrow,vocab_word_arrow,,,,"bow,feather,stick",,,test,vocab-item-109,112,,0.5222,1,,
vocab-es-CO-v1 picking,vocab-es-CO-v1_113,vocab-es-CO-v1,picking,vocab,picking,test_response,1,0.25,,picking,vocab_word_picking,,,,"jumping,dancing,kneading",,,test,vocab-item-110,113,,-1.1577,1,,
vocab-es-CO-v1 dripping,vocab-es-CO-v1_114,vocab-es-CO-v1,dripping,vocab,dripping,test_response,1,0.25,,dripping,vocab_word_dripping,,,,"pouring,flowing,splashing",,,test,vocab-item-111,114,,0.9143,1,,
vocab-es-CO-v1 knight,vocab-es-CO-v1_115,vocab-es-CO-v1,knight,vocab,knight,test_response,1,0.25,,knight,vocab_word_knight,,,,"malepirate,king,astronaut",,,test,vocab-item-112,115,,-0.1375,1,,
vocab-es-CO-v1 delivering,vocab-es-CO-v1_116,vocab-es-CO-v1,delivering,vocab,delivering,test_response,1,0.25,,delivering,vocab_word_delivering,,,,"opening,building,connecting",,,test,vocab-item-113,116,,-1.0297,1,,
vocab-es-CO-v1 dentist,vocab-es-CO-v1_117,vocab-es-CO-v1,dentist,vocab,dentist,test_response,1,0.25,,dentist,vocab_word_dentist,,,,"maledoctor,pharmacist,scientist",,,test,vocab-item-114,117,,-0.9152,1,,
