row,task,item_id,item_uid,item,answer,response_alternatives,audio_file,trial_type,assessment_stage,prompt,block_index,chance_level,d,difficulty,downex,story_group,block_threshold,randomize,image,orig_item_num,source,time_limit,trial_num
62,vocab,silverware,vocab_word_silverware,het zilverwerk,silverware,"garlic,trophy,eggnog",vocab-item-059,test,test_response,,1,0.25,-2.3136,-0.9957,,,,,,,clip,,
63,vocab,sink,vocab_word_sink,de gootsteen,sink,"laundrybasket,toilet,knitting",vocab-item-060,test,test_response,,1,0.25,,,,,,,,,clip,,
64,vocab,ski,vocab_word_ski,de ski,ski,"ice,suitcase,pincushion",vocab-item-061,test,test_response,,1,0.25,-3.3404,-2.0726,,,,,,,clip,,
65,vocab,sloth,vocab_word_sloth,de luiaard,sloth,"clam,donkey,incense",vocab-item-062,test,test_response,,1,0.25,-3.0409,-2.1262,,,,,,,clip,,
66,vocab,snail,vocab_word_snail,de slak,snail,"cow,worm,visor",vocab-item-063,test,test_response,,1,0.25,-2.6348,-2.341,,,,,,,clip,,
67,vocab,sorbet,vocab_word_sorbet,de sorbet,sorbet,"palette,tamale,chive",vocab-item-064,test,test_response,,1,0.25,-0.111,0.988,,,,,,,clip,,
68,vocab,spatula,vocab_word_spatula,de spatel,spatula,"pan,paddle,pheasant",vocab-item-065,test,test_response,,1,0.25,-1.9441,-0.5774,,,,,,,clip,,
69,vocab,sprinkler,vocab_word_sprinkler,de sproeier,sprinkler,"flower,sparkler,charcoal",vocab-item-066,test,test_response,,1,0.25,-2.5125,-0.6763,,,,,,,clip,,
70,vocab,squash,vocab_word_squash,de kalebas,squash,"branch,pumpkin,gazelle",vocab-item-067,test,test_response,,1,0.25,,,,,,,,,clip,,
71,vocab,squirrel,vocab_word_squirrel,de eekhoorn,squirrel,"eagle,monkey,shorts",vocab-item-068,test,test_response,,1,0.25,,,,,,,,,clip,,
72,vocab,stew,vocab_word_stew,de stoofpot,stew,"pan,soup,orchid",vocab-item-069,test,test_response,,1,0.25,-0.0446,0.6343,,,,,,,clip,,
73,vocab,rubber_band,vocab_word_rubberband,het elastiekje,rubber band,"drill,thermostat,vase",vocab-item-070,test,test_response,,1,0.25,,,,,,,,,clip,,
74,vocab,stump,vocab_word_stump,de stronk,stump,"bookshelf,log,showerhead",vocab-item-071,test,test_response,,1,0.25,-1.7437,-0.8391,,,,,,,clip,,
75,vocab,sunflower,vocab_word_sunflower,de zonnebloem,sunflower,"pineapple,rim,pinball",vocab-item-072,test,test_response,,1,0.25,-4.1555,-3.1572,,,,,,,clip,,
76,vocab,swordfish,vocab_word_swordfish,de zwaardvis,swordfish,"catfish,leopard,graffiti",vocab-item-073,test,test_response,,1,0.25,-0.4291,0.0467,,,,,,,clip,,
77,vocab,tapestry,vocab_word_tapestry,het wandtapijt,tapestry,"backdrop,brickwall,forklift",vocab-item-074,test,test_response,,1,0.25,-0.8979,0.7656,,,,,,,clip,,
78,vocab,teabag,vocab_word_teabag,het theezakje,teabag,"fingerprint,tea,braid",vocab-item-075,test,test_response,,1,0.25,,-0.9557,,,,,,,clip,,
79,vocab,telescope,vocab_word_telescope,de telescoop,telescope,"tripod,windshield,anklet",vocab-item-076,test,test_response,,1,0.25,-3.3639,-2.0507,,,,,,,clip,,
80,vocab,thermos,vocab_word_thermos,de thermoskan,thermos,"firewood,teapot,coral",vocab-item-077,test,test_response,,1,0.25,-0.4268,0.0954,,,,,,,clip,,
81,vocab,treasure,vocab_word_treasure,de schat,treasure,"gift,rope,lamp",vocab-item-078,test,test_response,,1,0.25,-3.1866,-1.7942,,,,,,,clip,,
82,vocab,trumpet,vocab_word_trumpet,de trompet,trumpet,"flute,violin,coleslaw",vocab-item-079,test,test_response,,1,0.25,,,,,,,,,clip,,
83,vocab,tulip,vocab_word_tulip,de tulp,tulip,"glove,rose,hubcap",vocab-item-080,test,test_response,,1,0.25,-1.3736,0.0685,,,,,,,clip,,
84,vocab,turbine,vocab_word_turbine,de turbine,turbine,"generator,tab,pesto",vocab-item-081,test,test_response,,1,0.25,0.1884,0.128,,,,,,,clip,,
85,vocab,turkey,vocab_word_turkey,de kalkoen,turkey,"goat,swan,pencil",vocab-item-082,test,test_response,,1,0.25,-4.4343,-2.4803,,,,,,,clip,,
86,vocab,turtle,vocab_word_turtle,de schildpad,turtle,"frog,horse,railing",vocab-item-083,test,test_response,,1,0.25,,,,,,,,,clip,,
87,vocab,typewriter,vocab_word_typewriter,de typemachine,typewriter,"printer,sunglasses,drumstick",vocab-item-084,test,test_response,,1,0.25,,-1.3525,,,,,,,clip,,
88,vocab,watermelon,vocab_word_watermelon,de watermeloen,watermelon,"screwdriver,strawberry,crane",vocab-item-085,test,test_response,,1,0.25,,,,,,,,,clip,,
89,vocab,waterwheel,vocab_word_waterwheel,het waterrad,waterwheel,"pinwheel,target,boa",vocab-item-086,test,test_response,,1,0.25,,-0.3239,,,,,,,clip,,
90,vocab,ant,vocab_word_ant,de mier,ant,"muffin,raspberry,mint",vocab-item-087,catch,test_response,,1,0.25,,,,,,,,,clip,,
91,vocab,ball,vocab_word_ball,de bal,ball,"pen,peach,snack",vocab-item-088,catch,test_response,,1,0.25,-4.4474,-4.658,,,,,,,clip,,
92,vocab,bear,vocab_word_bear,de beer,bear,"mirror,saw,bell",vocab-item-089,catch,test_response,,1,0.25,-4.5134,,,,,,,,clip,,
93,vocab,duck,vocab_word_duck,de eend,duck,"tongue,ladder,snake",vocab-item-090,practice,test_response,,1,0.25,,,,,,,,,clip,,
94,vocab,fork,vocab_word_fork,de vork,fork,"crow,wagon,bead",vocab-item-091,practice,test_response,,1,0.25,,,,,,,,,clip,,
95,vocab,kitten,vocab_word_kitten,het poesje,kitten,"wrist,pillow,mattress",vocab-item-092,practice,test_response,,1,0.25,,,,,,,,,clip,,
96,vocab,knee,vocab_word_knee,de knie,knee,"face,leash,sock",vocab-item-093,practice,test_response,,1,0.25,,,,,,,,,clip,,
97,vocab,milkshake,vocab_word_milkshake,de milkshake,milkshake,"pan,needle,gate",vocab-item-094,practice,test_response,,1,0.25,,,,,,,,,clip,,
98,vocab,skin,vocab_word_skin,de huid,skin,"cardboard,drum,clock",vocab-item-095,practice,test_response,,1,0.25,,,,,,,,,clip,,
99,vocab,wall,vocab_word_wall,de muur,wall,"knob,sponge,robot",vocab-item-096,practice,test_response,,1,0.25,,,,,,,,,clip,,
100,vocab,wheel,vocab_word_wheel,het wiel,wheel,"fish,bowl,meat",vocab-item-097,practice,test_response,,1,0.25,,,,,,,,,clip,,
101,vocab,farm,vocab_word_farm,de boerderij,farm,"zoo,park,forest",vocab-item-098,test,test_response,,1,0.25,,-2.1056,,,,,,,manual,,
102,vocab,juggling,vocab_word_juggling,jongleren,juggling,"running,biking,playing",vocab-item-099,test,test_response,,1,0.25,,,,,,,,,manual,,
103,vocab,dressing,vocab_word_dressing,de dressing,dressing,"juice,ketchup,flour",vocab-item-100,test,test_response,,1,0.25,-1.4867,0.2529,,,,,,,manual,,
104,vocab,roof,vocab_word_roof,het dak,roof,"stairs,door,fence",vocab-item-101,test,test_response,,1,0.25,-3.2605,-2.2783,,,,,,,manual,,
105,vocab,peeking,vocab_word_peeking,gluren,peeking,"reading,playing,surfing",vocab-item-102,test,test_response,,1,0.25,-3.2487,-1.9823,,,,,,,manual,,
106,vocab,ruler,vocab_word_ruler,de liniaal ,ruler,"measuringtape,compass,caliper",vocab-item-103,test,test_response,,1,0.25,,-0.4524,,,,,,,manual,,
107,vocab,tunnel,vocab_word_tunnel,de tunnel,tunnel,"pathway,waterway,cavern",vocab-item-104,test,test_response,,1,0.25,,,,,,,,,manual,,
108,vocab,envelope,vocab_word_envelope,de envelop,envelope,"checkbook,stamp,notecard",vocab-item-105,test,test_response,,1,0.25,-1.9725,-1.58,,,,,,,manual,,
109,vocab,diamond,vocab_word_diamond,de diamant,diamond,"ring,emerald,amethyst",vocab-item-106,test,test_response,,1,0.25,-2.3706,-0.7898,,,,,,,manual,,
110,vocab,calendar,vocab_word_calendar,de kalender,calendar,"hourglass,sundial,notebook",vocab-item-107,test,test_response,,1,0.25,-3.7755,-2.432,,,,,,,manual,,
111,vocab,panda,vocab_word_panda,de panda,panda,"koala,pig,zebra",vocab-item-108,test,test_response,,1,0.25,-4.0549,-3.2419,,,,,,,manual,,
112,vocab,arrow,vocab_word_arrow,de pijl,arrow,"bow,feather,stick",vocab-item-109,test,test_response,,1,0.25,-0.8274,0.2314,,,,,,,manual,,
113,vocab,picking,vocab_word_picking,plukken,picking,"jumping,dancing,kneading",vocab-item-110,test,test_response,,1,0.25,-2.9949,-1.5828,,,,,,,manual,,
114,vocab,dripping,vocab_word_dripping,druipend,dripping,"pouring,flowing,splashing",vocab-item-111,test,test_response,,1,0.25,-2.0478,-1.3354,,,,,,,manual,,
115,vocab,knight,vocab_word_knight,de ridder,knight,"malepirate,king,astronaut",vocab-item-112,test,test_response,,1,0.25,,-1.3529,,,,,,,manual,,
116,vocab,delivering,vocab_word_delivering,afleveren,delivering,"opening,building,connecting",vocab-item-113,test,test_response,,1,0.25,-2.0659,-1.333,,,,,,,manual,,
117,vocab,dentist,vocab_word_dentist,de tandarts,dentist,"maledoctor,pharmacist,scientist",vocab-item-114,test,test_response,,1,0.25,-2.8296,-1.4443,,,,,,,manual,,
119,vocab,uniform,vocab_word_uniform,het uniform,uniform,"costume,suit,dress",vocab-item-116,test,test_response,,1,0.25,-0.7776,1.4055,,,,,,,manual,,
120,vocab,furry,vocab_word_furry,harig,furry,"hairy,fluffy,silky",vocab-item-117,test,test_response,,1,0.25,-2.5384,-2.0687,,,,,,,manual,,
121,vocab,cormorant,vocab_word_cormorant,de aalscholver,cormorant,"eel,narwhal,turtle",vocab-item-118,test,test_response,,1,0.25,0.2287,0.7297,,,,,,,dutch,,
122,vocab,fetch,vocab_word_fetch,apporteren,fetch,"jump,fight,sit",vocab-item-119,test,test_response,,1,0.25,-1.9109,-0.9061,,,,,,,dutch,,
123,vocab,arcade,vocab_word_arcade,de zuilenhal ,arcade,"bellows,highvoltage,pier",vocab-item-120,test,test_response,,1,0.25,1.1624,1.8357,,,,,,,dutch,,
124,vocab,artifact,vocab_word_artifact,het artefact,artifact,"honeycomb,crystal,herringbone",vocab-item-121,test,test_response,,1,0.25,-0.6754,0.5139,,,,,,,dutch,,
125,vocab,aversion,vocab_word_aversion,afkeer,aversion,"dull,neutral,delighted",vocab-item-122,test,test_response,,1,0.25,2.1663,3.4856,,,,,,,dutch,,
126,vocab,beret,vocab_word_beret,de baret,beret,"hat,chefshat,safarihat",vocab-item-123,test,test_response,,1,0.25,-0.5061,0.8638,,,,,,,dutch,,
127,vocab,applaud,vocab_word_applaud,applaudisseren,applaud,"yawn,stare,nurse",vocab-item-124,test,test_response,,1,0.25,,-0.9857,,,,,,,dutch,,
128,vocab,timid,vocab_word_timid,timide,timid,"interested,excited,pensive",vocab-item-125,test,test_response,,1,0.25,2.1653,2.7209,,,,,,,dutch,,
129,vocab,camp,vocab_word_camp,de kampeerplek ,camp,"march,paint,steal",vocab-item-126,test,test_response,,1,0.25,-3.6868,-2.8028,,,,,,,dutch,,
130,vocab,tumble,vocab_word_tumble,salto maken,tumble,"applaud,chisel,scythes",vocab-item-127,test,test_response,,1,0.25,-1.2288,-0.5514,,,,,,,dutch,,
131,vocab,concentric,vocab_word_concentric,concentrisch,concentric,"oneabovetheother,smallinside,oneachother",vocab-item-128,test,test_response,,1,0.25,0.2894,0.8916,,,,,,,dutch,,
132,vocab,confectionery,vocab_word_confectionery,de snoepwinkel,confectionery,"confectionerymaterial,tools,food",vocab-item-129,test,test_response,,1,0.25,,2.8096,,,,,,,dutch,,
133,vocab,couturier,vocab_word_couturier,de couturier,couturier,"malemarketseller,matador,malestreetartist",vocab-item-130,test,test_response,,1,0.25,2.2127,3.5822,,,,,,,dutch,,
134,vocab,degression,vocab_word_degression,degressie,degression,"fluctuation,progression,stagnation",vocab-item-131,test,test_response,,1,0.25,1.261,1.7995,,,,,,,dutch,,
135,vocab,divan,vocab_word_divan,de divan,divan,"butterdish,handrail,lintroller",vocab-item-132,test,test_response,,1,0.25,,,,,,,,,dutch,,
136,vocab,wetland,vocab_word_wetland,het moerasgebied ,wetland,"field,dune,meadow",vocab-item-133,test,test_response,,1,0.25,-1.2814,-1.4479,,,,,,,dutch,,
137,vocab,baywindow,vocab_word_baywindow,de erker,baywindow,"threshhold,drapery,capital",vocab-item-134,test,test_response,,1,0.25,0.7852,1.5444,,,,,,,dutch,,
138,vocab,aesthete,vocab_word_aesthete,de estheet,aesthete,"bloodpressuremeasurement,philatelist,femaleresearcher",vocab-item-135,test,test_response,,1,0.25,,2.864,,,,,,,dutch,,
139,vocab,ecstatic,vocab_word_ecstatic,extatisch,ecstatic,"sleep,sad,tired",vocab-item-136,test,test_response,,1,0.25,0.514,1.3062,,,,,,,dutch,,
140,vocab,rickety,vocab_word_rickety,gammel,rickety,"dusk,vacationhome,skyscraper",vocab-item-137,test,test_response,,1,0.25,-1.7795,-0.0643,,,,,,,dutch,,
141,vocab,gourmet,vocab_word_gourmet,culinair,gourmet,"archaeological,astronomical,surgical",vocab-item-138,test,test_response,,1,0.25,-1.9157,0.3611,,,,,,,dutch,,
142,vocab,gesticulate,vocab_word_gesticulate,gebaren,gesticulate,"listen,pose,hide",vocab-item-139,test,test_response,,1,0.25,3.6938,3.8603,,,,,,,dutch,,
143,vocab,facade,vocab_word_facade,de gevel,facade,"glacier,interior,fog",vocab-item-140,test,test_response,,1,0.25,4.4412,4.9015,,,,,,,dutch,,
144,vocab,slope,vocab_word_slope,de helling,slope,"gap,sky,flat",vocab-item-141,test,test_response,,1,0.25,-0.05,0.6313,,,,,,,dutch,,
145,vocab,habit,vocab_word_habit,de habijt,habit,"divinghelmet,chasuble,mail",vocab-item-142,test,test_response,,1,0.25,2.1081,3.6412,,,,,,,dutch,,
146,vocab,intersection,vocab_word_intersection,het kruispunt,intersection,"monastery,avenue,level",vocab-item-143,test,test_response,,1,0.25,-0.4879,0.1433,,,,,,,dutch,,
147,vocab,irrigation,vocab_word_irrigation,de irrigatie,irrigation,"hydroterm,dump,repot",vocab-item-144,test,test_response,,1,0.25,1.6923,3.3834,,,,,,,dutch,,
148,vocab,kazoo,vocab_word_kazoo,de kazoo,kazoo,"cabasa,mandolin,rainstick",vocab-item-145,test,test_response,,1,0.25,-0.6981,1.0847,,,,,,,dutch,,
149,vocab,chat,vocab_word_chat,kletsen,chat,"mountaineering,horseriding,referee",vocab-item-146,test,test_response,,1,0.25,-3.196,-1.2105,,,,,,,dutch,,
150,vocab,colony,vocab_word_colony,de kolonie,colony,"herd,pack,school",vocab-item-147,test,test_response,,1,0.25,,2.46,,,,,,,dutch,,
151,vocab,preserve,vocab_word_preserve,inmaken,preserve,"grilling,heels,peel",vocab-item-148,test,test_response,,1,0.25,-0.6314,0.9363,,,,,,,dutch,,
152,vocab,awning,vocab_word_awning,de luifel,awning,"lighter,pouch,folder",vocab-item-149,test,test_response,,1,0.25,-1.3186,-0.059,,,,,,,dutch,,
153,vocab,mammalogy,vocab_word_mammalogy,mammologie,mammalogy,"entomology,herpetology,ichthyology",vocab-item-150,test,test_response,,1,0.25,2.5801,3.8759,,,,,,,dutch,,
154,vocab,metronome,vocab_word_metronome,de metronoom,metronome,"electricitymeter,protractor,voltmeter",vocab-item-151,test,test_response,,1,0.25,1.0115,1.8071,,,,,,,dutch,,
155,vocab,paleontologist,vocab_word_paleontologist,de paleontoloog,paleontologist,"labtechnician,surveyor,roadworker",vocab-item-152,test,test_response,,1,0.25,-0.6156,0.4841,,,,,,,dutch,,
156,vocab,percussion,vocab_word_percussion,de percussie,percussion,"accordion,cello,musicstand",vocab-item-153,test,test_response,,1,0.25,1.9276,0.872,,,,,,,dutch,,
157,vocab,posterior,vocab_word_posterior,de achterkant ,posterior,"frontal,inferior,lateral",vocab-item-154,test,test_response,,1,0.25,1.2671,1.7732,,,,,,,dutch,,
158,vocab,precarious,vocab_word_precarious,hachelijk ,precarious,"cheerful,taiqi,readaloud",vocab-item-155,test,test_response,,1,0.25,0.9546,2.3276,,,,,,,dutch,,
159,vocab,arbor,vocab_word_arbor,de prieel,arbor,"castle,barn,tipi",vocab-item-156,test,test_response,,1,0.25,1.4844,2.6362,,,,,,,dutch,,
160,vocab,resuscitation,vocab_word_resuscitation,reanimatie,resuscitation,"breathing,pipetting,measurevolts",vocab-item-157,test,test_response,,1,0.25,0.766,1.3953,,,,,,,dutch,,
161,vocab,rosette,vocab_word_rosette,de rozet,rosette,"brooch,manholecover,roseball",vocab-item-158,test,test_response,,1,0.25,0.3278,1.0918,,,,,,,dutch,,
162,vocab,saffron,vocab_word_saffron,de saffraan,saffron,"cinnamon,clove,staranise",vocab-item-159,test,test_response,,1,0.25,1.8776,3.6244,,,,,,,dutch,,
163,vocab,mischievous,vocab_word_mischievous,ondeugend,mischievous,"irritated,headaches,suprised",vocab-item-160,test,test_response,,1,0.25,0.2874,1.1619,,,,,,,dutch,,
164,vocab,skimmer,vocab_word_skimmer,de schuimspaan,skimmer,"pastaspoon,spatula,strainer",vocab-item-161,test,test_response,,1,0.25,4.5504,4.9498,,,,,,,dutch,,
