corpus_item_id,sheet_row,corpus_link,corpus_id,corpus_file_name,task_link,task_id,task_dir,item_id,task,answer,assessment_stage,audio_file (old),audio_file link,block_index,chance_level,d,difficulty_old,image,item,item_link,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,time_limit,trial_num,trial_type,audio_file,row,item_uid sheet,a,g,u,trial_attributes,notes,form_construct,num_cards,num_dimensions,Last Modified,item_uid_check,item_key,group,entry,item_uid_temp,task_id_temp,corpus_id_temp,item_task (from item_link),tom_scenario,task_item_link,corpus_short_name,downex,registry_parameters (from item_link),corpus_registry_version,inferred_parameters,difficulty_inferred,difficulty,discrimination,block_threshold,last_modified,corpus_language,registry_parameter_helper,registry_parameter,discrimination_registry,difficulty_registry,item_uid_language,corpus_active,story_group
vocab-es-CO-v1 blower,vocab-es-CO-v1_11,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,blower,vocab,blower,test_response,vocab-item-008,vocab-item-008,1,0.25,-2.46510000,,,blower,vocab_word_blower,vocab_word_blower,,,,,"buggy,burner,papaya",clip,,,test,vocab-item-008,11,vocab__blower,,,,,,,,,3/31/2026 7:50am,0,"test blower blower buggy,burner,papaya",word,blower,,,,vocab,,blower,vocab-es-CO-v1,,"vocab_word_blower v1_6 es-CO,vocab_word_blower v1_6 de-DE,vocab_word_blower v1_6 en-US",v1_6,,,-2.8211,1,,3/31/2026 7:50am,es-CO,vocab_word_blower v1_6 es-CO,vocab_word_blower v1_6 es-CO,1.000,-2.821,vocab_word_blower-es-CO,1 checked out of 1,
vocab-es-CO-v1 bouquet,vocab-es-CO-v1_12,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,bouquet,vocab,bouquet,test_response,vocab-item-009,vocab-item-009,1,0.25,-1.70520000,,,bouquet,vocab_word_bouquet,vocab_word_bouquet,,,,,"flowerpot,centerpiece,submarine",clip,,,test,vocab-item-009,12,vocab__bouquet,,,,,,,,,4/28/2026 7:54am,0,"test bouquet bouquet flowerpot,centerpiece,submarine",word,bouquet,,,,vocab,,bouquet,vocab-es-CO-v1,,"vocab_word_bouquet v1_6 es-CO,vocab_word_bouquet v1_6 de-DE,vocab_word_bouquet v1_6 en-US",v1_6,,,-2.7540,1,,4/28/2026 7:54am,es-CO,vocab_word_bouquet v1_6 es-CO,vocab_word_bouquet v1_6 es-CO,1.000,-2.754,vocab_word_bouquet-es-CO,1 checked out of 1,
vocab-es-CO-v1 buffet,vocab-es-CO-v1_13,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,buffet,vocab,buffet,test_response,vocab-item-010,vocab-item-010,1,0.25,,,,buffet,vocab_word_buffet,vocab_word_buffet,,,,,"counter,crib,rhubarb",clip,,,test,vocab-item-010,13,vocab__buffet,,,,,,,,,3/31/2026 7:50am,0,"test buffet buffet counter,crib,rhubarb",word,buffet,,,,vocab,,buffet,vocab-es-CO-v1,,"vocab_word_buffet v1_6 es-CO,vocab_word_buffet v1_6 de-DE,vocab_word_buffet v1_6 en-US",v1_6,,,0.1826,1,,3/31/2026 7:50am,es-CO,vocab_word_buffet v1_6 es-CO,vocab_word_buffet v1_6 es-CO,1.000,0.183,vocab_word_buffet-es-CO,1 checked out of 1,
vocab-es-CO-v1 bulldozer,vocab-es-CO-v1_14,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,bulldozer,vocab,bulldozer,test_response,vocab-item-011,vocab-item-011,1,0.25,-1.73540000,,,bulldozer,vocab_word_bulldozer,vocab_word_bulldozer,,,,,"orange,tractor,eggplant",clip,,,test,vocab-item-011,14,vocab__bulldozer,,,,,,,,,3/31/2026 7:50am,0,"test bulldozer bulldozer orange,tractor,eggplant",word,bulldozer,,,,vocab,,bulldozer,vocab-es-CO-v1,,"vocab_word_bulldozer v1_6 es-CO,vocab_word_bulldozer v1_6 de-DE,vocab_word_bulldozer v1_6 en-US",v1_6,,,-2.1016,1,,3/31/2026 7:50am,es-CO,vocab_word_bulldozer v1_6 es-CO,vocab_word_bulldozer v1_6 es-CO,1.000,-2.102,vocab_word_bulldozer-es-CO,1 checked out of 1,
vocab-es-CO-v1 cake,vocab-es-CO-v1_15,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,cake,vocab,cake,test_response,vocab-item-012,vocab-item-012,1,0.25,,,,cake,vocab_word_cake,vocab_word_cake,,,,,"dessert,refrigerator,battery",clip,,,test,vocab-item-012,15,vocab__cake,,,,,,,,,3/31/2026 7:50am,0,"test cake cake dessert,refrigerator,battery",word,cake,,,,vocab,,cake,vocab-es-CO-v1,,"vocab_word_cake v1_6 es-CO,vocab_word_cake v1_6 de-DE,vocab_word_cake v1_6 en-US",v1_6,,,-3.1011,1,,3/31/2026 7:50am,es-CO,vocab_word_cake v1_6 es-CO,vocab_word_cake v1_6 es-CO,1.000,-3.101,vocab_word_cake-es-CO,1 checked out of 1,
vocab-es-CO-v1 caramel,vocab-es-CO-v1_16,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,caramel,vocab,caramel,test_response,vocab-item-013,vocab-item-013,1,0.25,-2.00870000,,,caramel,vocab_word_caramel,vocab_word_caramel,,,,,"amber,olive,warthog",clip,,,test,vocab-item-013,16,vocab__caramel,,,,,,,,,3/31/2026 7:50am,0,"test caramel caramel amber,olive,warthog",word,caramel,,,,vocab,,caramel,vocab-es-CO-v1,,"vocab_word_caramel v1_6 es-CO,vocab_word_caramel v1_6 de-DE,vocab_word_caramel v1_6 en-US",v1_6,,,-0.4744,1,,3/31/2026 7:50am,es-CO,vocab_word_caramel v1_6 es-CO,vocab_word_caramel v1_6 es-CO,1.000,-0.474,vocab_word_caramel-es-CO,1 checked out of 1,
vocab-es-CO-v1 carousel,vocab-es-CO-v1_17,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,carousel,vocab,carousel,test_response,vocab-item-014,vocab-item-014,1,0.25,-1.39250000,,,carousel,vocab_word_carousel,vocab_word_carousel,,,,,"carriage,dish,melon",clip,,,test,vocab-item-014,17,vocab__carousel,,,,,,,,,3/31/2026 7:50am,0,"test carousel carousel carriage,dish,melon",word,carousel,,,,vocab,,carousel,vocab-es-CO-v1,,"vocab_word_carousel v1_6 es-CO,vocab_word_carousel v1_6 de-DE,vocab_word_carousel v1_6 en-US",v1_6,,,1.1389,1,,3/31/2026 7:50am,es-CO,vocab_word_carousel v1_6 es-CO,vocab_word_carousel v1_6 es-CO,1.000,1.139,vocab_word_carousel-es-CO,1 checked out of 1,
vocab-es-CO-v1 carrot,vocab-es-CO-v1_18,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,carrot,vocab,carrot,test_response,vocab-item-015,vocab-item-015,1,0.25,-4.43450000,,,carrot,vocab_word_carrot,vocab_word_carrot,,,,,"phone,vegetable,bathtub",clip,,,test,vocab-item-015,18,vocab__carrot,,,,,,,,,3/31/2026 7:50am,0,"test carrot carrot phone,vegetable,bathtub",word,carrot,,,,vocab,,carrot,vocab-es-CO-v1,,"vocab_word_carrot v1_6 es-CO,vocab_word_carrot v1_6 en-US",v1_6,,,-3.8977,1,,3/31/2026 7:50am,es-CO,vocab_word_carrot v1_6 es-CO,vocab_word_carrot v1_6 es-CO,1.000,-3.898,vocab_word_carrot-es-CO,1 checked out of 1,
vocab-es-CO-v1 cassette,vocab-es-CO-v1_19,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,cassette,vocab,cassette,test_response,vocab-item-016,vocab-item-016,1,0.25,-1.25170000,,,cassette,vocab_word_cassette,vocab_word_cassette,,,,,"book,tape,hammock",clip,,,test,vocab-item-016,19,vocab__cassette,,,,,,,,,3/31/2026 7:50am,0,"test cassette cassette book,tape,hammock",word,cassette,,,,vocab,,cassette,vocab-es-CO-v1,,"vocab_word_cassette v1_6 es-CO,vocab_word_cassette v1_6 de-DE,vocab_word_cassette v1_6 en-US",v1_6,,,-0.3651,1,,3/31/2026 7:50am,es-CO,vocab_word_cassette v1_6 es-CO,vocab_word_cassette v1_6 es-CO,1.000,-0.365,vocab_word_cassette-es-CO,1 checked out of 1,
vocab-es-CO-v1 cheese,vocab-es-CO-v1_20,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,cheese,vocab,cheese,test_response,vocab-item-017,vocab-item-017,1,0.25,-0.07190000,,,cheese,vocab_word_cheese,vocab_word_cheese,,,,,"butter,mud,hippopotamus",clip,,,test,vocab-item-017,20,vocab__cheese,,,,,,,,,3/31/2026 7:50am,0,"test cheese cheese butter,mud,hippopotamus",word,cheese,,,,vocab,,cheese,vocab-es-CO-v1,,"vocab_word_cheese v1_6 es-CO,vocab_word_cheese v1_6 de-DE,vocab_word_cheese v1_6 en-US",v1_6,,,1.4873,1,,3/31/2026 7:50am,es-CO,vocab_word_cheese v1_6 es-CO,vocab_word_cheese v1_6 es-CO,1.000,1.487,vocab_word_cheese-es-CO,1 checked out of 1,
vocab-es-CO-v1 cloak,vocab-es-CO-v1_21,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,cloak,vocab,cloak,test_response,vocab-item-018,vocab-item-018,1,0.25,-0.88000000,,,cloak,vocab_word_cloak,vocab_word_cloak,,,,,"cinnamon,hood,jellyfish",clip,,,test,vocab-item-018,21,vocab__cloak,,,,,,,,,3/31/2026 7:50am,0,"test cloak cloak cinnamon,hood,jellyfish",word,cloak,,,,vocab,,cloak,vocab-es-CO-v1,,"vocab_word_cloak v1_6 es-CO,vocab_word_cloak v1_6 de-DE,vocab_word_cloak v1_6 en-US",v1_6,,,6.1972,1,,3/31/2026 7:50am,es-CO,vocab_word_cloak v1_6 es-CO,vocab_word_cloak v1_6 es-CO,1.000,6.197,vocab_word_cloak-es-CO,1 checked out of 1,
vocab-es-CO-v1 clothespin,vocab-es-CO-v1_22,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,clothespin,vocab,clothespin,test_response,vocab-item-019,vocab-item-019,1,0.25,-2.71660000,,,clothespin,vocab_word_clothespin,vocab_word_clothespin,,,,,"toothpick,volleyball,hanger",clip,,,test,vocab-item-019,22,vocab__clothespin,,,,,,,,,4/28/2026 7:56am,0,"test clothespin clothespin toothpick,volleyball,hanger",word,clothespin,,,,vocab,,clothespin,vocab-es-CO-v1,,"vocab_word_clothespin v1_6 es-CO,vocab_word_clothespin v1_6 en-US",v1_6,,,-3.2563,1,,4/28/2026 7:56am,es-CO,vocab_word_clothespin v1_6 es-CO,vocab_word_clothespin v1_6 es-CO,1.000,-3.256,vocab_word_clothespin-es-CO,1 checked out of 1,
vocab-es-CO-v1 coaster,vocab-es-CO-v1_23,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,coaster,vocab,coaster,test_response,vocab-item-020,vocab-item-020,1,0.25,-0.42660000,,,coaster,vocab_word_coaster,vocab_word_coaster,,,,,"card,tablecloth,hummingbird",clip,,,test,vocab-item-020,23,vocab__coaster,,,,,,,,,4/28/2026 7:56am,0,"test coaster coaster card,tablecloth,hummingbird",word,coaster,,,,vocab,,coaster,vocab-es-CO-v1,,"vocab_word_coaster v1_6 es-CO,vocab_word_coaster v1_6 de-DE,vocab_word_coaster v1_6 en-US",v1_6,,,-0.9875,1,,4/28/2026 7:56am,es-CO,vocab_word_coaster v1_6 es-CO,vocab_word_coaster v1_6 es-CO,1.000,-0.988,vocab_word_coaster-es-CO,1 checked out of 1,
vocab-es-CO-v1 cork,vocab-es-CO-v1_24,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,cork,vocab,cork,test_response,vocab-item-021,vocab-item-021,1,0.25,-2.09110000,,,cork,vocab_word_cork,vocab_word_cork,,,,,"jersey,skateboard,mascara",clip,,,test,vocab-item-021,24,vocab__cork,,,,,,,,,3/31/2026 7:50am,0,"test cork cork jersey,skateboard,mascara",word,cork,,,,vocab,,cork,vocab-es-CO-v1,,"vocab_word_cork v1_6 es-CO,vocab_word_cork v1_6 de-DE,vocab_word_cork v1_6 en-US",v1_6,,,-0.8489,1,,3/31/2026 7:50am,es-CO,vocab_word_cork v1_6 es-CO,vocab_word_cork v1_6 es-CO,1.000,-0.849,vocab_word_cork-es-CO,1 checked out of 1,
vocab-es-CO-v1 cornbread,vocab-es-CO-v1_25,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,cornbread,vocab,cornbread,test_response,vocab-item-022,vocab-item-022,1,0.25,-2.66280000,,,cornbread,vocab_word_cornbread,vocab_word_cornbread,,,,,"corn,wreath,organ",clip,,,test,vocab-item-022,25,vocab__cornbread,,,,,,,,,3/31/2026 7:50am,0,"test cornbread cornbread corn,wreath,organ",word,cornbread,,,,vocab,,cornbread,vocab-es-CO-v1,,"vocab_word_cornbread v1_6 es-CO,vocab_word_cornbread v1_6 de-DE,vocab_word_cornbread v1_6 en-US",v1_6,,,-0.9130,1,,3/31/2026 7:50am,es-CO,vocab_word_cornbread v1_6 es-CO,vocab_word_cornbread v1_6 es-CO,1.000,-0.913,vocab_word_cornbread-es-CO,1 checked out of 1,
vocab-es-CO-v1 corset,vocab-es-CO-v1_26,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,corset,vocab,corset,test_response,vocab-item-023,vocab-item-023,1,0.25,-0.04100000,,,corset,vocab_word_corset,vocab_word_corset,,,,,"harness,mantle,bonsai",clip,,,test,vocab-item-023,26,vocab__corset,,,,,,,,,3/31/2026 7:50am,0,"test corset corset harness,mantle,bonsai",word,corset,,,,vocab,,corset,vocab-es-CO-v1,,"vocab_word_corset v1_6 es-CO,vocab_word_corset v1_6 de-DE,vocab_word_corset v1_6 en-US",v1_6,,,1.8639,1,,3/31/2026 7:50am,es-CO,vocab_word_corset v1_6 es-CO,vocab_word_corset v1_6 es-CO,1.000,1.864,vocab_word_corset-es-CO,1 checked out of 1,
vocab-es-CO-v1 dumpling,vocab-es-CO-v1_27,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,dumpling,vocab,dumpling,test_response,vocab-item-024,vocab-item-024,1,0.25,-2.33860000,,,dumpling,vocab_word_dumpling,vocab_word_dumpling,,,,,"meatball,rocket,coyote",clip,,,test,vocab-item-024,27,vocab__dumpling,,,,,,,,,3/31/2026 7:50am,0,"test dumpling dumpling meatball,rocket,coyote",word,dumpling,,,,vocab,,dumpling,vocab-es-CO-v1,,"vocab_word_dumpling v1_6 es-CO,vocab_word_dumpling v1_6 de-DE,vocab_word_dumpling v1_6 en-US",v1_6,,,2.3124,1,,3/31/2026 7:50am,es-CO,vocab_word_dumpling v1_6 es-CO,vocab_word_dumpling v1_6 es-CO,1.000,2.312,vocab_word_dumpling-es-CO,1 checked out of 1,
vocab-es-CO-v1 elbow,vocab-es-CO-v1_28,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,elbow,vocab,elbow,test_response,vocab-item-025,vocab-item-025,1,0.25,-2.26870000,,,elbow,vocab_word_elbow,vocab_word_elbow,,,,,"arm,bed,gorilla",clip,,,test,vocab-item-025,28,vocab__elbow,,,,,,,,,3/31/2026 7:50am,0,"test elbow elbow arm,bed,gorilla",word,elbow,,,,vocab,,elbow,vocab-es-CO-v1,,"vocab_word_elbow v1_6 es-CO,vocab_word_elbow v1_6 de-DE,vocab_word_elbow v1_6 en-US",v1_6,,,-1.3280,1,,3/31/2026 7:50am,es-CO,vocab_word_elbow v1_6 es-CO,vocab_word_elbow v1_6 es-CO,1.000,-1.328,vocab_word_elbow-es-CO,1 checked out of 1,
vocab-es-CO-v1 fan,vocab-es-CO-v1_29,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,fan,vocab,fan,test_response,vocab-item-026,vocab-item-026,1,0.25,-4.05010000,,,fan,vocab_word_fan,vocab_word_fan,,,,,"album,boulder,chipmunk",clip,,,test,vocab-item-026,29,vocab__fan,,,,,,,,,3/31/2026 7:50am,0,"test fan fan album,boulder,chipmunk",word,fan,,,,vocab,,fan,vocab-es-CO-v1,,"vocab_word_fan v1_6 es-CO,vocab_word_fan v1_6 de-DE,vocab_word_fan v1_6 en-US",v1_6,,,-3.5865,1,,3/31/2026 7:50am,es-CO,vocab_word_fan v1_6 es-CO,vocab_word_fan v1_6 es-CO,1.000,-3.587,vocab_word_fan-es-CO,1 checked out of 1,
vocab-es-CO-v1 foam,vocab-es-CO-v1_30,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,foam,vocab,foam,test_response,vocab-item-027,vocab-item-027,1,0.25,-2.40140000,,,foam,vocab_word_foam,vocab_word_foam,,,,,"float,quilt,asparagus",clip,,,test,vocab-item-027,30,vocab__foam,,,,,,,,,3/31/2026 7:50am,0,"test foam foam float,quilt,asparagus",word,foam,,,,vocab,,foam,vocab-es-CO-v1,,"vocab_word_foam v1_6 es-CO,vocab_word_foam v1_6 de-DE,vocab_word_foam v1_6 en-US",v1_6,,,-1.8990,1,,3/31/2026 7:50am,es-CO,vocab_word_foam v1_6 es-CO,vocab_word_foam v1_6 es-CO,1.000,-1.899,vocab_word_foam-es-CO,1 checked out of 1,
vocab-es-CO-v1 footbath,vocab-es-CO-v1_31,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,footbath,vocab,footbath,test_response,vocab-item-028,vocab-item-028,1,0.25,,,,footbath,vocab_word_footbath,vocab_word_footbath,,,,,"trough,vest,rhinoceros",clip,,,test,vocab-item-028,31,vocab__footbath,,,,,,,,,3/31/2026 7:50am,0,"test footbath footbath trough,vest,rhinoceros",word,footbath,,,,vocab,,footbath,vocab-es-CO-v1,,"vocab_word_footbath v1_6 es-CO,vocab_word_footbath v1_6 de-DE,vocab_word_footbath v1_6 en-US",v1_6,,,-3.5277,1,,3/31/2026 7:50am,es-CO,vocab_word_footbath v1_6 es-CO,vocab_word_footbath v1_6 es-CO,1.000,-3.528,vocab_word_footbath-es-CO,1 checked out of 1,
