item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
matrix_set1_md_mat75,OK,"",6,0.667,0.324,0.266,,0.337,0.250,0.375,0.250,""
matrix_set1_md_mat42,OK,"",6,0.667,0.585,0.220,,0.337,0.250,0.250,0.250,""
matrix_set1_md_mat45,OK,"",6,0.667,0.585,0.270,,0.337,0.391,0.250,0.250,""
matrix_set1_md_mat78,OK,"",6,0.667,0.585,0.210,,0.337,0.250,0.256,0.261,""
matrix_set1_md_mat56,OK,"",6,0.667,0.454,0.296,,0.337,,,,""
,OK,"",6,0.833,0.442,,,0.366,,,,"See this big puzzle? It's missing a piece! Which piece goes in the puzzle?"
matrix_set1_md_mat41,OK,"",6,0.833,0.118,0.527,,0.366,0.269,0.714,0.682,""
matrix_set1_md_mat44,OK,"",6,0.833,0.442,0.233,,0.366,,0.286,0.286,""
matrix_set1_md_mat50,OK,"",6,0.833,0.442,0.262,,0.366,0.261,0.250,0.262,""
matrix_set1_md_mat53,OK,"",6,0.833,0.279,0.242,,0.366,0.250,0.300,0.250,""
,CEILING,"top of panel (p_vlm 1.00)",6,1.000,,,,0.660,,,,"Choose the best piece to complete the puzzle."
matrix_set1_md_mat4,CEILING,"top of panel (p_vlm 1.00)",6,1.000,,0.723,,0.660,0.484,0.737,0.867,"Choose the best piece to complete the puzzle."
matrix_set1_md_mat2,CEILING,"top of panel (p_vlm 1.00)",6,1.000,,0.783,,0.660,0.568,0.811,0.899,"Choose the best piece to complete the puzzle."
matrix_set1_md_mat5,CEILING,"top of panel (p_vlm 1.00)",6,1.000,,0.836,,0.660,0.642,0.853,0.926,"Choose the best piece to complete the puzzle."
matrix_set1_md_mat7,CEILING,"top of panel (p_vlm 1.00)",6,1.000,,0.700,,0.660,0.527,0.685,0.807,""
matrix_set1_md_mat8,CEILING,"top of panel (p_vlm 1.00)",6,1.000,,0.421,,0.660,0.294,0.478,0.614,""
matrix_set1_md_mat71,CEILING,"top of panel (p_vlm 1.00)",6,1.000,,0.455,,0.660,0.333,0.311,0.577,""
matrix_set1_md_mat38,CEILING,"top of panel (p_vlm 1.00)",6,1.000,,0.409,,0.660,0.308,0.455,0.609,""
matrix_set1_md_mat68,CEILING,"top of panel (p_vlm 1.00)",6,1.000,,0.878,,0.660,0.800,0.936,0.898,""
