item_uid,transcript,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_gap_vlm_minus_human
trog_revactive_girl_push_horse,"the girl is pushing the horse",46,0.674,0.932,0.923,0.275,-0.249
trog_notonly_girl_notonly_food_drink,"the girl has not only food but also a drink",46,0.674,0.932,0.934,-0.115,-0.261
trog_postmod_cow_chasing_cat_brown,"the cow chasing the cat is brown",46,0.370,0.517,0.635,-0.057,-0.265
trog_conditional_we_picnic_if_park_sunny,"we will have a picnic in the park if it is sunny",46,0.630,0.879,0.898,-0.140,-0.268
trog_depclause_she_gardener_wear_hat_flower,"she is the gardener who wears the hat that has a flower",46,0.587,0.816,0.855,-0.177,-0.268
trog_pluralmorph_girl_drop_cups,"the girl drops the cups",46,0.652,0.908,0.930,-0.141,-0.278
trog_pluralpronoun_elephant_carry_them,"the elephant is carrying them",46,0.609,0.839,0.886,0.378,-0.278
trog_preploc_fish_swim_beneath_whale,"The fish swim beneath a whale and a sea turtle.",46,0.109,0.238,0.389,0.043,-0.280
trog_postmod_duck_following_turtle_walking,"The duck following the turtle is walking across the bridge.",46,0.087,0.229,0.368,0.723,-0.281
trog_abovebelow_star_above_circle,"the star is above the circle",46,0.587,0.829,0.873,-0.091,-0.286
trog_notonly_notonly_bird_flower_blue,"not only the bird but also the flower is blue",46,0.630,0.883,0.918,0.137,-0.288
trog_abovebelow_square_below_star,"the square is below the star",46,0.391,0.509,0.688,0.145,-0.296
trog_negative_dog_not_sit,"the dog is not sitting",46,0.587,0.818,0.889,0.219,-0.302
trog_revpassive_cow_pushed_man,"the cow is pushed by the man",46,0.413,0.566,0.722,0.431,-0.309
trog_relclause_dog_chase_horse_that_brown,"the dog chases the horse that is brown",46,0.348,0.502,0.659,0.349,-0.311
trog_embedding_book_pencil_on_red,"the book the pencil is on is red",46,0.326,0.572,0.639,0.298,-0.313
trog_inon_pencil_on_box,"the pencil is on the box",46,0.565,0.787,0.887,-0.047,-0.322
trog_postmod_pencil_on_shoe_blue,"the pencil on the shoe is blue",46,0.587,0.836,0.917,0.019,-0.330
trog_causal_she_trip_rock_drop_book,"She tripped on a rock and dropped her books.",46,0.609,0.845,0.947,0.348,-0.339
trog_pluralmorph_boy_stand_chairs,"the boy stands on the chairs",46,0.478,0.659,0.823,0.038,-0.344
trog_xnoty_box_not_chair_red,"the box but not the chair is red",46,0.370,0.641,0.724,-0.070,-0.355
trog_pluralpronoun_they_jump_wall,"they are jumping over the wall",46,0.522,0.773,0.902,0.365,-0.381
trog_2combo_red_ball,"the red ball",46,0.587,0.828,0.971,0.374,-0.384
trog_xnoty_cat_big_not_black,"the cat is big but not black",46,0.543,0.775,0.929,-0.027,-0.385
trog_disjunctive_although_hot_i_wear,"Although it is hot outside, I am wearing a jacket with a hood.",46,0.391,0.575,0.789,0.301,-0.398
trog_conditional_teacher_give_if_stand_line,"The teacher will give the students cake if they stand in a line.",46,0.326,0.504,0.737,0.413,-0.411
trog_gerund_bump_table_case_book_fall,"Bumping the table with my foot caused a book to fall.",46,0.370,0.589,0.786,0.249,-0.416
trog_conjcoord_monkey_eat_nor_swing,"The monkey neither ate the banana nor swung on the vine.",46,0.457,0.728,0.889,0.489,-0.432
trog_conditional_we_dance_if_music_play,"We will dance together if there is music playing.",46,0.304,0.444,0.745,0.232,-0.441
trog_disjunctive_he_wear_despite_size,"He wore the clown's hat despite its large size.",46,0.348,0.451,0.789,0.063,-0.442
trog_revpassive_horse_chased_man,"the horse is chased by the man",46,0.261,0.384,0.705,0.419,-0.444
trog_revpassive_girl_chased_horse,"the girl is chased by the horse",46,0.500,0.685,0.947,0.135,-0.447
trog_temporal_student_open_notebook_draw_tree,"the student opened the notebook and drew a tree",46,0.500,0.734,0.957,-0.291,-0.457
trog_preploc_car_truck_follow_drive,"The car that the truck followed is driving toward the tunnel.",46,0.152,0.202,0.611,0.395,-0.459
trog_revpassrelclause_girl_wearing_backpack_shown_flower,"The girl wearing a backpack was shown a flower by her friend.",46,0.261,0.287,0.722,0.559,-0.461
trog_abovebelow_pencil_above_flower,"the pencil is above the flower",46,0.304,0.514,0.770,0.018,-0.466
trog_pluralpronoun_cow_look_them,"the cow is looking at them",46,0.370,0.656,0.852,0.397,-0.482
trog_relclause_girl_chase_dog_that_big,"the girl chases the dog that is big",46,0.326,0.450,0.824,0.231,-0.497
trog_preploc_plane_gray_above_cloud,"The plane that is gray is above the clouds.",46,0.391,0.517,0.889,0.469,-0.498
trog_comparative_shoe_bigger_bird,"the shoe is bigger than the bird",46,0.391,0.466,0.891,0.049,-0.499
trog_inon_circle_in_star,"the circle is in the star",46,0.391,0.615,0.900,0.055,-0.509
trog_inon_fork_on_shoe,"the fork is on the shoe",46,0.435,0.665,0.966,-0.091,-0.531
trog_relclause_person_chase_dog_that_big,"The person chases the dog that is big.",46,0.413,0.574,0.944,0.449,-0.531
trog_comparative_horse_taller_wall,"the horse is taller than the wall",46,0.413,0.524,0.965,0.173,-0.552
trog_comparative_fork_longer_pencil,"the fork is longer than the pencil",46,0.283,0.369,0.846,0.271,-0.564
trog_additive_hose_drink_sheep_eat,"the horse drank water by the barn and the sheep ate grass by the fence",46,0.326,0.529,0.893,0.152,-0.567
trog_revactive_boy_chase_sheep,"the boy is chasing the sheep",46,0.326,0.519,0.897,0.326,-0.571
trog_abovebelow_comb_below_spoon,"the comb is below the spoon",46,0.217,0.343,0.804,0.093,-0.586
trog_postmod_boy_chasing_horse_tall,"the boy chasing the horse is tall",46,0.239,0.350,0.861,0.308,-0.622
trog_revactive_cow_push_lady,"the cow is pushing the lady",46,0.304,0.594,0.938,0.435,-0.633
trog_disjunctive_despite_noise_she_focus,"Despite the noise in the classroom, she focused on reading her notebook.",46,0.043,0.052,0.684,0.048,-0.641
trog_xnoty_horse_not_boy_stand,"the horse but not the boy is standing",46,0.000,,0.776,-0.086,-0.776
trog_adjective_tall,"Choose the picture that shows tall.",46,0.043,0.140,0.872,0.270,-0.829
trog_noun_shoe,"Choose the picture of the shoe.",46,0.696,0.971,,,
trog_noun_bird,"Choose the picture of the bird.",46,0.696,0.971,,,
trog_noun_comb,"Choose the picture of the comb.",46,0.696,0.971,,,
trog_noun_apple,"Choose the picture of the apple.",46,0.696,0.971,,,
trog_2combo_boy_run,"the boy is running",46,0.696,0.971,,,
trog_revactive_man_chase_dog,"the man is chasing the dog",46,0.413,0.568,,,
trog_comparative_box_bigger_cup,"the box is bigger than the cup",46,0.630,0.872,,,
trog_xnoty_boy_sit_not_eat,"the boy is sitting but not eating",46,0.565,0.800,,,
trog_conjcoord_kid_clean_but_forget,"The kids cleaned the room, but forgot to put away the train.",46,0.326,0.559,,,
