item_uid,p_en,p_nl,delta,strong_delta,flag_en,flag_nl,transcript_en,transcript_nl
vocab_word_bouquet,1.000,1.000,0.000,,CEILING,CEILING,"the bouquet","het boeket"
vocab_word_cake,1.000,1.000,0.000,,CEILING,CEILING,"the cake","de taart"
vocab_word_caramel,1.000,1.000,0.000,,CEILING,CEILING,"the caramel","de karamel"
vocab_word_carousel,1.000,1.000,0.000,,CEILING,CEILING,"the carousel","de draaimolen"
vocab_word_carrot,1.000,1.000,0.000,,CEILING,CEILING,"the carrot","de wortel"
vocab_word_cheese,1.000,1.000,0.000,,CEILING,CEILING,"the cheese","de kaas"
vocab_word_clothespin,1.000,1.000,0.000,,CEILING,CEILING,"the clothespin","de wasknijper"
vocab_word_coaster,1.000,1.000,0.000,,CEILING,CEILING,"the coaster","de onderzetter"
vocab_word_cork,1.000,1.000,0.000,,CEILING,CEILING,"the cork","de kurk"
vocab_word_elbow,1.000,1.000,0.000,,CEILING,CEILING,"the elbow","de elleboog"
vocab_word_fan,1.000,1.000,0.000,,CEILING,CEILING,"the fan","de ventilator"
vocab_word_footbath,1.000,1.000,0.000,,CEILING,CEILING,"the footbath","het voetbad"
vocab_word_hamster,1.000,1.000,0.000,,CEILING,CEILING,"the hamster","de hamster"
vocab_word_hedgehog,1.000,1.000,0.000,,CEILING,CEILING,"the hedgehog","de egel"
vocab_word_hopscotch,1.000,1.000,0.000,,CEILING,CEILING,"the hopscotch","de hinkelbaan"
vocab_word_lollipop,1.000,1.000,0.000,,CEILING,CEILING,"the lollipop","de lolly"
vocab_word_map,1.000,1.000,0.000,,CEILING,CEILING,"the map","de kaart"
vocab_word_marshmallow,1.000,1.000,0.000,,CEILING,CEILING,"the marshmallow","de marshmallow"
vocab_word_oil,1.000,1.000,0.000,,CEILING,CEILING,"the oil","de olie"
vocab_word_omelet,1.000,1.000,0.000,,CEILING,CEILING,"the omelet","de omelet"
vocab_word_potato,1.000,1.000,0.000,,CEILING,CEILING,"the potato","de aardappel"
vocab_word_pump,1.000,1.000,0.000,,CEILING,CEILING,"the pump","de pomp"
vocab_word_rice,1.000,1.000,0.000,,CEILING,CEILING,"the rice","de rijst"
vocab_word_saddle,1.000,1.000,0.000,,CEILING,CEILING,"the saddle","het zadel"
vocab_word_sandbag,1.000,1.000,0.000,,CEILING,CEILING,"the sandbag","de zandzak"
vocab_word_scaffolding,1.000,1.000,0.000,,CEILING,CEILING,"the scaffolding","de steiger"
vocab_word_scoop,1.000,1.000,0.000,,CEILING,CEILING,"the scoop","de schep"
vocab_word_ski,1.000,1.000,0.000,,CEILING,CEILING,"the ski","de ski"
vocab_word_sloth,1.000,1.000,0.000,,CEILING,CEILING,"the sloth","de luiaard"
vocab_word_snail,1.000,1.000,0.000,,CEILING,CEILING,"the snail","de slak"
vocab_word_sprinkler,1.000,1.000,0.000,,CEILING,CEILING,"the sprinkler","de sproeier"
vocab_word_squirrel,1.000,1.000,0.000,,CEILING,CEILING,"the squirrel","de eekhoorn"
vocab_word_stew,1.000,1.000,0.000,,CEILING,CEILING,"the stew","de stoofpot"
vocab_word_rubberband,1.000,1.000,0.000,,CEILING,CEILING,"the rubber band","het elastiekje"
vocab_word_sunflower,1.000,1.000,0.000,,CEILING,CEILING,"the sunflower","de zonnebloem"
vocab_word_swordfish,1.000,1.000,0.000,,CEILING,CEILING,"the swordfish","de zwaardvis"
vocab_word_teabag,1.000,1.000,0.000,,CEILING,CEILING,"the teabag","het theezakje"
vocab_word_telescope,1.000,1.000,0.000,,CEILING,CEILING,"the telescope","de telescoop"
vocab_word_thermos,1.000,1.000,0.000,,CEILING,CEILING,"the thermos","de thermoskan"
vocab_word_trumpet,1.000,1.000,0.000,,CEILING,CEILING,"the trumpet","de trompet"
vocab_word_tulip,1.000,1.000,0.000,,CEILING,CEILING,"the tulip","de tulp"
vocab_word_turkey,1.000,1.000,0.000,,CEILING,CEILING,"the turkey","de kalkoen"
vocab_word_turtle,1.000,1.000,0.000,,CEILING,CEILING,"the turtle","de schildpad"
vocab_word_watermelon,1.000,1.000,0.000,,CEILING,CEILING,"the watermelon","de watermeloen"
vocab_word_ball,1.000,1.000,0.000,,CEILING,CEILING,"the ball","de bal"
vocab_word_bear,1.000,1.000,0.000,,CEILING,CEILING,"the bear","de beer"
vocab_word_duck,1.000,1.000,0.000,,CEILING,CEILING,"the duck","de eend"
vocab_word_fork,1.000,1.000,0.000,,CEILING,CEILING,"the fork","de vork"
vocab_word_kitten,1.000,1.000,0.000,,CEILING,CEILING,"the kitten","het poesje"
vocab_word_knee,1.000,1.000,0.000,,CEILING,CEILING,"the knee","de knie"
vocab_word_milkshake,1.000,1.000,0.000,,CEILING,CEILING,"the milkshake","de milkshake"
vocab_word_skin,1.000,1.000,0.000,,CEILING,CEILING,"the skin","de huid"
vocab_word_wall,1.000,1.000,0.000,,CEILING,CEILING,"the wall","de muur"
vocab_word_wheel,1.000,1.000,0.000,,CEILING,CEILING,"the wheel","het wiel"
vocab_word_farm,1.000,1.000,0.000,,CEILING,CEILING,"the farm","de boerderij"
vocab_word_juggling,1.000,1.000,0.000,,CEILING,CEILING,"juggling","jongleren"
vocab_word_roof,1.000,1.000,0.000,,CEILING,CEILING,"the roof","het dak"
vocab_word_peeking,1.000,1.000,0.000,,CEILING,CEILING,"peeking","gluren"
vocab_word_ruler,1.000,1.000,0.000,,CEILING,CEILING,"the ruler","de liniaal"
vocab_word_tunnel,1.000,1.000,0.000,,CEILING,CEILING,"the tunnel","de tunnel"
vocab_word_envelope,1.000,1.000,0.000,,CEILING,CEILING,"the envelope","de envelop"
vocab_word_diamond,1.000,1.000,0.000,,CEILING,CEILING,"the diamond","de diamant"
vocab_word_calendar,1.000,1.000,0.000,,CEILING,CEILING,"the calendar","de kalender"
vocab_word_panda,1.000,1.000,0.000,,CEILING,CEILING,"the panda","de panda"
vocab_word_arrow,1.000,1.000,0.000,,CEILING,CEILING,"the arrow","de pijl"
vocab_word_picking,1.000,1.000,0.000,,CEILING,CEILING,"picking","plukken"
vocab_word_dripping,1.000,1.000,0.000,,CEILING,CEILING,"dripping","druipend"
vocab_word_delivering,1.000,1.000,0.000,,CEILING,CEILING,"delivering","afleveren"
vocab_word_dentist,1.000,1.000,0.000,,CEILING,CEILING,"the dentist","de tandarts"
vocab_word_furry,1.000,1.000,0.000,,CEILING,CEILING,"furry","harig"
vocab_word_applaud,1.000,1.000,0.000,,CEILING,CEILING,"applaud","applaudisseren"
vocab_word_camp,1.000,1.000,0.000,,CEILING,CEILING,"the camp","de kampeerplek"
vocab_word_tumble,1.000,1.000,0.000,,CEILING,CEILING,"tumble","salto maken"
vocab_word_steam,1.000,1.000,0.000,,CEILING,CEILING,"the steam","de stoom"
vocab_word_bandage,1.000,1.000,0.000,,CEILING,CEILING,"the bandage","het verband"
vocab_word_waterwheel,0.917,0.962,0.045,,OK,OK,"the waterwheel","het waterrad"
vocab_word_colony,0.833,0.880,0.047,,OK,OK,"the colony","de kolonie"
vocab_word_dredging,0.500,0.560,0.060,,HARD,HARD,"dredging","baggeren"
vocab_word_baywindow,0.667,0.731,0.064,,OK,HARD,"the baywindow","de erker"
vocab_word_sedentary,0.667,0.750,0.083,,OK,HARD,"sedentary","sedentair"
vocab_word_fruitcake,0.917,1.000,0.083,,OK,CEILING,"the fruitcake","de vruchtencake"
vocab_word_pistachio,0.917,1.000,0.083,,OK,CEILING,"the pistachio","het pistachenootje"
vocab_word_spatula,0.917,1.000,0.083,,OK,CEILING,"the spatula","de spatel"
vocab_word_hoe,0.833,0.923,0.090,,OK,OK,"the hoe","de schoffel"
vocab_word_percussion,0.750,0.885,0.135,,OK,OK,"the percussion","de percussie"
vocab_word_degression,0.333,0.480,0.147,,HARD,HARD,"degression","degressie"
vocab_word_aesthete,0.250,0.400,0.150,,HARD,HARD,"the aesthete","de estheet"
vocab_word_wetland,0.833,1.000,0.167,,OK,CEILING,"the wetland","het moerasgebied"
vocab_word_ecstatic,0.833,1.000,0.167,,OK,CEILING,"ecstatic","extatisch"
vocab_word_mischievous,0.833,1.000,0.167,,OK,CEILING,"mischievous","ondeugend"
vocab_word_prism,0.750,0.920,0.170,,OK,OK,"the prism","het prisma"
vocab_word_saffron,0.667,0.840,0.173,,OK,HARD,"the saffron","de saffraan"
vocab_word_kimono,0.750,0.923,0.173,,OK,OK,"the kimono","de kimono"
vocab_word_cassette,0.750,0.958,0.208,,OK,OK,"the cassette","de cassette"
vocab_word_awning,0.750,0.962,0.212,,OK,OK,"the awning","de luifel"
vocab_word_artifact,0.667,0.880,0.213,,OK,OK,"the artifact","het artefact"
vocab_word_metronome,0.667,0.880,0.213,,OK,OK,"the metronome","de metronoom"
vocab_word_aloe,0.667,0.885,0.218,,OK,OK,"the aloe","de aloë"
vocab_word_sorbet,0.750,1.000,0.250,yes,OK,CEILING,"the sorbet","de sorbet"
vocab_word_intersection,0.750,1.000,0.250,yes,OK,CEILING,"the intersection","het kruispunt"
vocab_word_skimmer,0.667,0.923,0.256,yes,OK,OK,"the skimmer","de schuimspaan"
vocab_word_rosette,0.333,0.615,0.282,yes,HARD,HARD,"the rosette","de rozet"
vocab_word_gourmet,0.500,0.800,0.300,yes,HARD,HARD,"gourmet","culinair"
vocab_word_paleontologist,0.583,0.885,0.302,yes,HARD,OK,"the paleontologist","de paleontoloog"
vocab_word_mammalogy,0.250,0.560,0.310,yes,HARD,HARD,"mammalogy","mammologie"
vocab_word_beret,0.667,1.000,0.333,yes,OK,CEILING,"the beret","de baret"
vocab_word_suede,0.583,0.917,0.334,yes,HARD,OK,"the suede","het suède"
vocab_word_vertebra,0.583,0.917,0.334,yes,HARD,OK,"the vertebra","de wervel"
vocab_word_irrigation,0.583,0.920,0.337,yes,HARD,OK,"the irrigation","de irrigatie"
vocab_word_habit,0.500,0.846,0.346,yes,HARD,OK,"the habit","de habijt"
vocab_word_artichoke,0.583,0.962,0.379,yes,HARD,OK,"the artichoke","de artisjok"
vocab_word_arbor,0.500,0.880,0.380,yes,HARD,OK,"the arbor","de prieel"
vocab_word_turbine,0.500,0.885,0.385,yes,HARD,OK,"the turbine","de turbine"
vocab_word_cormorant,0.500,0.885,0.385,yes,HARD,OK,"the cormorant","de aalscholver"
vocab_word_facade,0.500,0.885,0.385,yes,HARD,OK,"the facade","de gevel"
vocab_word_tapestry,0.583,1.000,0.417,yes,HARD,CEILING,"the tapestry","het wandtapijt"
vocab_word_turnstile,0.583,1.000,0.417,yes,HARD,CEILING,"the turnstile","het draaihekje"
vocab_word_corset,0.417,0.846,0.429,yes,HARD,OK,"the corset","het korset"
vocab_word_triad,0.250,0.680,0.430,yes,HARD,HARD,"the triad","de triade"
vocab_word_concentric,0.417,0.880,0.463,yes,HARD,OK,"concentric","concentrisch"
vocab_word_couturier,0.250,0.727,0.477,yes,HARD,HARD,"the couturier","de couturier"
vocab_word_confectionery,0.500,1.000,0.500,yes,HARD,CEILING,"the confectionery","de snoepwinkel"
vocab_word_divan,0.417,0.962,0.545,yes,HARD,OK,"the divan","de divan"
vocab_word_resuscitation,0.250,0.808,0.558,yes,HARD,HARD,"resuscitation","reanimatie"
vocab_word_arcade,0.250,0.885,0.635,yes,HARD,OK,"the arcade","de zuilenhal"
vocab_word_posterior,0.333,1.000,0.667,yes,HARD,CEILING,"the posterior","de achterkant"
vocab_word_aversion,0.250,0.962,0.712,yes,HARD,OK,"aversion","afkeer"
vocab_word_gesticulate,0.083,0.923,0.840,yes,BROKEN,OK,"gesticulate","gebaren"
