item_uid,n,n_knows,p_vlm,p_knows,p_model,p_soft,p_pred_child,p_human,d_bank
vocab_word_saddle,12,12,1,1,1,1,0.856,0.926,-2.482
vocab_word_sandbag,12,12,1,1,1,1,0.812,0.909,-1.9166
vocab_word_scaffolding,12,12,1,0.6666666666666666,0.8333333333333334,0.75,0.856,0.721,-0.1618
vocab_word_scoop,12,12,1,1,1,1,0.856,0.946,-1.0753
vocab_word_seagull,12,12,1,1,1,1,0.856,0.876,-3.0402
vocab_word_ship,12,12,1,1,1,1,0.856,0.79,0
vocab_word_shower,12,12,1,1,1,1,0.856,0.935,-4.1759
vocab_word_silverware,12,12,1,1,1,1,0.856,0.798,-2.3136
vocab_word_sink,12,12,1,1,1,1,0.856,0.894,0
vocab_word_ski,12,12,1,1,1,1,0.856,0.776,-3.3404
vocab_word_sloth,12,12,1,1,1,1,0.856,0.925,-3.0409
vocab_word_snail,12,12,1,1,1,1,0.856,0.954,-2.6348
vocab_word_sorbet,12,12,0.75,0.5833333333333334,1,0.6875,0.607,0.537,-0.111
vocab_word_spatula,12,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9375,0.645,0.776,-1.9441
vocab_word_sprinkler,12,12,1,1,1,1,0.856,0.76,-2.5125
vocab_word_squash,12,12,0.9166666666666666,1,0.9166666666666666,1,0.662,0.083,0
vocab_word_squirrel,12,12,1,1,1,1,0.856,0.981,0
vocab_word_stew,12,12,1,1,1,1,0.856,0.837,-0.0446
vocab_word_rubberband,12,12,1,1,1,1,0.856,0.94,0
vocab_word_stump,12,12,1,1,1,1,0.856,0.571,-1.7437
vocab_word_sunflower,12,12,1,1,1,1,0.856,0.927,-4.1555
vocab_word_swordfish,12,12,1,1,1,1,0.816,0.65,-0.4291
vocab_word_tapestry,12,12,0.5833333333333334,0.4166666666666667,0.8333333333333334,0.5625,0.624,0.564,-0.8979
vocab_word_teabag,12,12,1,1,1,1,0.808,0.863,0
vocab_word_telescope,12,12,1,1,1,1,0.856,0.887,-3.3639
vocab_word_thermos,12,12,1,1,1,1,0.815,0.914,-0.4268
vocab_word_treasure,12,12,1,1,1,1,0.856,0.831,-3.1866
vocab_word_trumpet,12,12,1,1,1,1,0.856,0.977,0
vocab_word_tulip,12,12,1,1,1,1,0.856,0.648,-1.3736
vocab_word_turbine,12,12,0.5,0.5,0.8333333333333334,0.625,0.604,0.781,0.1884
vocab_word_turkey,12,12,1,1,1,1,0.856,0.879,-4.4343
vocab_word_turtle,12,12,1,1,1,1,0.856,0.977,0
vocab_word_typewriter,12,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9375,0.662,0.811,0
vocab_word_watermelon,12,12,1,1,1,1,0.856,0.983,0
vocab_word_waterwheel,12,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9375,0.631,0.823,0
vocab_word_ant,12,12,1,1,1,1,0.856,0.983,0
vocab_word_ball,12,12,1,1,1,1,0.856,0.936,-4.4474
vocab_word_bear,12,12,1,1,1,1,0.856,0.957,-4.5134
vocab_word_duck,12,12,1,1,1,1,0.856,0,0
vocab_word_fork,12,12,1,1,1,1,0.856,0,0
vocab_word_kitten,12,12,1,1,1,1,0.856,0,0
vocab_word_knee,12,12,1,1,1,1,0.856,0,0
vocab_word_milkshake,12,12,1,1,1,1,0.856,0,0
vocab_word_skin,12,12,1,1,1,1,0.856,0,0
vocab_word_wall,12,12,1,1,1,1,0.856,0,0
vocab_word_wheel,12,12,1,1,1,1,0.856,0,0
vocab_word_farm,12,12,1,1,1,1,0.856,0.852,0
vocab_word_juggling,12,12,1,1,1,1,0.856,0.959,0
vocab_word_dressing,12,12,1,1,1,1,0.856,0.58,-1.4867
vocab_word_roof,12,12,1,1,1,1,0.856,0.915,-3.2605
vocab_word_peeking,12,12,1,1,1,1,0.821,0.815,-3.2487
vocab_word_ruler,12,12,1,1,1,1,0.856,0.929,0
vocab_word_tunnel,12,12,1,1,1,1,0.856,0.939,0
vocab_word_envelope,12,12,1,1,1,1,0.856,0.847,-1.9725
vocab_word_diamond,12,12,1,1,1,1,0.856,0.772,-2.3706
vocab_word_calendar,12,12,1,1,1,1,0.856,0.814,-3.7755
vocab_word_panda,12,12,1,1,1,1,0.856,0.877,-4.0549
vocab_word_arrow,12,12,1,1,1,1,0.856,0.743,-0.8274
vocab_word_picking,12,12,1,1,1,1,0.856,0.821,-2.9949
vocab_word_dripping,12,12,1,1,1,1,0.856,0.705,-2.0478
vocab_word_knight,12,12,1,1,1,1,0.856,0.881,0
vocab_word_delivering,12,12,1,1,1,1,0.856,0.718,-2.0659
vocab_word_dentist,12,12,1,1,1,1,0.856,0.813,-2.8296
vocab_word_claw,12,12,0,1,0,1,0.25,0.092,1.2205
vocab_word_uniform,12,12,1,1,1,1,0.856,0.712,-0.7776
vocab_word_furry,12,12,1,1,1,1,0.856,0.844,-2.5384
vocab_word_cormorant,12,12,0.5,0.16666666666666666,0.9166666666666666,0.375,0.584,0.675,0.2287
vocab_word_fetch,12,12,1,1,1,1,0.856,0.797,-1.9109
vocab_word_arcade,12,12,0.25,0.08333333333333333,1,0.3125,0.552,0.552,1.1624
vocab_word_artifact,12,12,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.75,0.624,0.741,-0.6754
vocab_word_aversion,12,12,0.25,0.08333333333333333,1,0.3125,0.552,0.683,2.1663
vocab_word_beret,12,12,0.6666666666666666,0.6666666666666666,1,0.75,0.612,0.623,-0.5061
vocab_word_applaud,12,12,1,1,1,1,0.856,0.95,0
vocab_word_timid,12,12,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.875,0.662,0.841,2.1653
vocab_word_camp,12,12,1,1,1,1,0.856,0.83,-3.6868
vocab_word_tumble,12,12,1,1,1,1,0.856,0.891,-1.2288
vocab_word_concentric,12,12,0.4166666666666667,0.25,1,0.4375,0.56,0.728,0.2894
vocab_word_confectionery,12,12,0.5,0.3333333333333333,1,0.5,0.595,0.76,0
vocab_word_couturier,12,12,0.25,0,1,0.25,0.536,0.911,2.2127
vocab_word_degression,12,12,0.3333333333333333,0,1,0.25,0.536,0.49,1.261
vocab_word_divan,12,12,0.4166666666666667,0,1,0.25,0.553,0.113,0
vocab_word_wetland,12,12,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.875,0.624,0.674,-1.2814
vocab_word_baywindow,12,12,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.75,0.588,0.644,0.7852
vocab_word_aesthete,12,12,0.25,0,1,0.25,0.532,0.398,0
vocab_word_ecstatic,12,12,0.8333333333333334,0.5833333333333334,1,0.6875,0.624,0.175,0.514
vocab_word_rickety,12,12,0.8333333333333334,0.8333333333333334,1,0.875,0.607,0.681,-1.7795
vocab_word_gourmet,12,12,0.5,0.3333333333333333,1,0.5,0.604,0.619,-1.9157
vocab_word_gesticulate,12,12,0.08333333333333333,0,1,0.25,0.465,0.564,3.6938
vocab_word_facade,12,12,0.5,0.16666666666666666,1,0.375,0.604,0.621,4.4412
vocab_word_slope,12,12,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.875,0.662,0.533,-0.05
vocab_word_habit,12,12,0.5,0.16666666666666666,0.75,0.375,0.604,0.503,2.1081
vocab_word_intersection,12,12,0.75,0.75,1,0.8125,0.624,0.635,-0.4879
vocab_word_irrigation,12,12,0.5833333333333334,0.5833333333333334,1,0.6875,0.624,0.698,1.6923
vocab_word_kazoo,12,12,1,1,1,1,0.811,0.414,-0.6981
vocab_word_chat,12,12,1,1,1,1,0.856,0.795,-3.196
vocab_word_colony,12,12,0.8333333333333334,0.6666666666666666,1,0.75,0.624,0.5,0
vocab_word_preserve,12,12,0.75,0.5833333333333334,1,0.6875,0.624,0.829,-0.6314
vocab_word_awning,12,12,0.75,0.5833333333333334,0.9166666666666666,0.6875,0.608,0.723,-1.3186
vocab_word_mammalogy,12,12,0.25,0.08333333333333333,1,0.3125,0.53,0.668,2.5801
vocab_word_metronome,12,12,0.6666666666666666,0.5,0.8333333333333334,0.625,0.606,0.511,1.0115
vocab_word_paleontologist,12,12,0.5833333333333334,0.5833333333333334,1,0.6875,0.605,0.707,-0.6156
vocab_word_percussion,12,12,0.75,0.6666666666666666,0.9166666666666666,0.75,0.624,0.532,1.9276
vocab_word_posterior,12,12,0.3333333333333333,0.16666666666666666,0.9166666666666666,0.375,0.567,0.703,1.2671
vocab_word_precarious,12,12,0.5,0.16666666666666666,1,0.375,0.604,0.335,0.9546
vocab_word_arbor,12,12,0.5,0.25,0.6666666666666666,0.4375,0.604,0.715,1.4844
vocab_word_resuscitation,12,12,0.25,0.16666666666666666,1,0.375,0.547,0.863,0.766
vocab_word_rosette,12,12,0.3333333333333333,0.16666666666666666,1,0.375,0.556,0.457,0.3278
vocab_word_saffron,12,12,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.5,0.624,0.616,1.8776
vocab_word_mischievous,12,12,0.8333333333333334,0.8333333333333334,1,0.875,0.624,0.758,0.2874
vocab_word_skimmer,12,12,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.375,0.603,0.333,4.5504
vocab_word_sedentary,12,12,0.6666666666666666,0.25,0.9166666666666666,0.4375,0.624,0.799,1.3989
vocab_word_suede,12,12,0.5833333333333334,0.5,0.9166666666666666,0.625,0.624,0.656,0
vocab_word_turnstile,12,12,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.6875,0.603,0.556,0
vocab_word_triad,12,12,0.25,0.08333333333333333,1,0.3125,0.552,0.63,2.1904
vocab_word_dredging,12,12,0.5,0.16666666666666666,0.5833333333333334,0.375,0.604,0.232,1.8884
vocab_word_urban,12,12,0.9166666666666666,0.6666666666666666,1,0.75,0.662,0.836,2.9118
vocab_word_steam,12,12,1,1,1,1,0.856,0.812,-1.4323
vocab_word_vertebra,12,12,0.5833333333333334,0.3333333333333333,0.6666666666666666,0.5,0.609,0.602,1.1865
vocab_word_bandage,12,12,1,1,1,1,0.856,0.783,-3.1142
