item_uid,bank_uid,p_vlm,p_pred_child,p_human,d_bank,d_bench,d_est,d_est_cv,d_est_p_only_cv,chance,anchor,tags,zipf,flag,transcript
trog_revpassrelclause_girl_wearing_backpack_shown_flower,trog_revpassrelclause_girl_wearing_backpack_shown_flower,0.5120,0.7950,0.6400,,1.044893,-1.824172,,,0.2500,false,other,,HARD,The girl wearing a backpack was shown a flower by her friend.
trog_relclause_dog_chase_horse_that_brown,trog_relclause_dog_chase_horse_that_brown,0.5170,0.7950,0.7420,-2.750605,1.961337,-2.855210,-2.824140,-1.670454,0.2500,true,reverse_agent,,HARD,the dog chases the horse that is brown
trog_additive_hose_drink_sheep_eat,trog_additive_hose_drink_sheep_eat,0.5520,0.7950,0.9350,-0.920034,3.318926,-1.824172,-1.948165,-1.600991,0.2500,true,other,,HARD,the horse drank water by the barn and the sheep ate grass by the fence
trog_adjective_tall,trog_adjective_tall,0.5570,0.7950,0.9210,-2.735786,3.917617,-1.824172,-1.586206,-1.554796,0.2500,true,adjective,,HARD,Choose the picture that shows tall.
trog_embedding_book_pencil_on_red,trog_embedding_book_pencil_on_red,0.5750,0.7950,0.5580,-1.527960,0.862321,-1.177884,-1.134403,-1.703525,0.2500,true,relative_clause+spatial+adjective,,HARD,the book the pencil is on is red
trog_revactive_man_chase_dog,trog_revactive_man_chase_dog,0.5800,0.8030,0.9310,-2.986863,,-2.914386,-3.145823,-1.551513,0.2500,true,reverse_agent,,OK,the man is chasing the dog
trog_revpassive_horse_chased_man,trog_revpassive_horse_chased_man,0.5800,0.8030,0.7440,-2.629851,2.168557,-2.783347,-2.836763,-1.718844,0.2500,true,reverse_agent+passive,,OK,the horse is chased by the man
trog_postmod_boy_chasing_horse_tall,trog_postmod_boy_chasing_horse_tall,0.5930,0.8110,0.8270,-2.846164,2.506962,-2.143237,-2.177706,-1.712095,0.2500,true,relative_clause+adjective,,OK,the boy chasing the horse is tall
trog_conditional_teacher_give_if_stand_line,trog_conditional_teacher_give_if_stand_line,0.6100,0.8110,0.8670,,2.498041,-1.944093,,,0.2500,false,other,,OK,The teacher will give the students cake if they stand in a line.
trog_conditional_we_dance_if_music_play,trog_conditional_we_dance_if_music_play,0.6210,0.8110,0.7210,-1.281514,1.427474,-1.944093,-1.717588,-1.639046,0.2500,true,other,,OK,We will dance together if there is music playing.
trog_conjcoord_kid_clean_but_forget,trog_conjcoord_kid_clean_but_forget,0.6320,0.8110,0.8310,,,-1.944093,,,0.2500,false,other,,OK,"The kids cleaned the room, but forgot to put away the train."
trog_revpassive_cow_pushed_man,trog_revpassive_cow_pushed_man,0.6480,0.8110,0.7830,-3.069308,2.283145,-2.844091,-2.684494,-1.794929,0.2500,true,reverse_agent+passive,,OK,the cow is pushed by the man
trog_disjunctive_he_wear_despite_size,trog_disjunctive_he_wear_despite_size,0.6670,0.8110,0.7190,,1.170543,-2.465674,,,0.2500,false,disjunctive,,OK,He wore the clown's hat despite its large size.
trog_comparative_horse_taller_wall,trog_comparative_horse_taller_wall,0.6820,0.8290,0.9440,-1.991912,3.739999,-1.594224,-0.918466,-1.723850,0.2500,true,comparative+adjective,,OK,the horse is taller than the wall
trog_revactive_boy_chase_sheep,trog_revactive_boy_chase_sheep,0.6930,0.8290,0.9260,-2.903149,4.236373,-3.118412,-3.078643,-1.885682,0.2500,true,reverse_agent,,OK,the boy is chasing the sheep
trog_disjunctive_although_hot_i_wear,trog_disjunctive_although_hot_i_wear,0.7210,0.8290,0.8450,,2.251368,-2.608956,,,0.2500,false,disjunctive,,OK,"Although it is hot outside, I am wearing a jacket with a hood."
trog_preploc_plane_gray_above_cloud,trog_preploc_plane_gray_above_cloud,0.7240,0.8290,0.8210,,2.443948,-1.441086,,,0.2500,false,relative_clause+spatial,,OK,The plane that is gray is above the clouds.
trog_abovebelow_pencil_above_flower,trog_abovebelow_pencil_above_flower,0.7270,0.8290,0.8960,-1.385052,2.671566,-1.241942,-1.330722,-1.844842,0.2500,true,spatial,,OK,the pencil is above the flower
trog_conjcoord_monkey_eat_nor_swing,trog_conjcoord_monkey_eat_nor_swing,0.7440,0.8290,0.8670,,2.798320,-1.399536,,,0.2500,false,negation,,OK,The monkey neither ate the banana nor swung on the vine.
trog_neither_pencil_long_nor_red,trog_neither_pencil_long_nor_red,0.7470,0.8290,0.6930,-2.973695,1.589241,-1.399536,-1.256027,-1.739709,0.2500,true,negation+adjective,,OK,the pencil is neither long nor red
trog_neither_boy_hat_nor_shoe,trog_neither_boy_hat_nor_shoe,0.7560,0.8290,0.8720,-1.442102,2.434138,-1.399536,-1.278503,-1.904139,0.2500,true,negation,,OK,the boy has neither hat nor shoes
trog_comparative_fork_longer_pencil,trog_comparative_fork_longer_pencil,0.7840,0.8290,0.8740,-2.212058,2.987381,-1.594224,-0.918466,-1.723850,0.2500,true,comparative,,OK,the fork is longer than the pencil
trog_inon_circle_in_star,trog_inon_circle_in_star,0.7950,0.8290,0.7660,-0.452474,1.879691,-1.241942,-1.568058,-1.885682,0.2500,true,spatial,,OK,the circle is in the star
trog_inon_fork_on_shoe,trog_inon_fork_on_shoe,0.7950,0.8290,0.9090,-0.737077,3.153513,-1.241942,-1.330722,-1.844842,0.2500,true,spatial,,OK,the fork is on the shoe
trog_postmod_cow_chasing_cat_brown,trog_postmod_cow_chasing_cat_brown,0.7950,0.8290,0.7360,-1.506044,1.648340,-2.286519,-2.536786,-1.739709,0.2500,true,relative_clause,,OK,the cow chasing the cat is brown
trog_relclause_person_chase_dog_that_big,trog_relclause_person_chase_dog_that_big,0.8050,0.8290,0.8920,,3.229960,-2.272980,,,0.2500,false,reverse_agent+spatial+adjective,,OK,The person chases the dog that is big.
trog_xnoty_box_not_chair_red,trog_xnoty_box_not_chair_red,0.8180,0.8290,0.9010,-1.765367,3.014142,-1.399536,-1.278503,-1.904139,0.2500,true,negation+adjective,,OK,the box but not the chair is red
trog_revactive_cow_push_lady,trog_revactive_cow_push_lady,0.8240,0.8290,0.9180,-3.573687,4.467780,-3.118412,-3.370232,-1.723850,0.2500,true,reverse_agent,,OK,the cow is pushing the lady
trog_postmod_circle_in_star_yellow,trog_postmod_circle_in_star_yellow,0.8300,0.8290,0.7170,-1.264434,1.437357,-1.441086,-1.519931,-1.885682,0.2500,true,relative_clause+spatial,,OK,the circle in the star is yellow
trog_neither_dog_nor_ball_brown,trog_neither_dog_nor_ball_brown,0.8300,0.8290,0.7980,-1.286685,2.095465,-1.399536,-1.584176,-1.844842,0.2500,true,negation,,OK,neither the dog nor the ball is brown
trog_abovebelow_comb_below_spoon,trog_abovebelow_comb_below_spoon,0.8410,0.8290,0.7880,-1.998080,2.117565,-1.241942,-0.841205,-1.739709,0.2500,true,spatial,,OK,the comb is below the spoon
trog_temporal_student_open_notebook_draw_tree,trog_temporal_student_open_notebook_draw_tree,0.8410,0.8290,0.8920,2.109663,2.515974,-2.087375,-2.218890,-1.904139,0.2500,true,temporal,,OK,the student opened the notebook and drew a tree
trog_disjunctive_he_like_however_choose,trog_disjunctive_he_like_however_choose,0.8510,0.8290,0.8020,-2.609020,2.013822,-2.608956,-1.964487,-1.723850,0.2500,true,disjunctive,,OK,"He likes swimming. However, he chose to play soccer with his friends."
trog_pluralpronoun_cow_look_them,trog_pluralpronoun_cow_look_them,0.8520,0.8290,0.8750,-2.511346,3.037037,-2.087375,-2.091331,-1.885682,0.2500,true,other,,OK,the cow is looking at them
trog_gerund_bump_table_case_book_fall,trog_gerund_bump_table_case_book_fall,0.8620,0.8290,0.8060,-2.609020,2.187817,-2.087375,-2.223434,-1.844842,0.2500,true,other,,OK,Bumping the table with my foot caused a book to fall.
trog_relclause_pencil_on_book_that_yellow,trog_relclause_pencil_on_book_that_yellow,0.8640,0.8290,0.7920,-2.726741,2.392566,-1.241942,-0.841205,-1.739709,0.2500,true,spatial,,OK,the pencil is on the book that is yellow
trog_revpassive_elephant_pushed_boy,trog_revpassive_elephant_pushed_boy,0.8740,0.8290,0.7460,-3.270285,1.855701,-2.987373,-2.813277,-1.904139,0.2500,true,reverse_agent+passive,,OK,the elephant is pushed by the boy
trog_postmod_pencil_on_shoe_blue,trog_postmod_pencil_on_shoe_blue,0.8850,0.8290,0.9020,-1.270790,2.751883,-1.441086,-1.353262,-1.723850,0.2500,true,relative_clause+spatial+adjective,,OK,the pencil on the shoe is blue
trog_prepphrase_he_find_under_couch,trog_prepphrase_he_find_under_couch,0.8850,0.8290,0.7250,7.658442,1.096936,-1.241942,-1.568058,-1.885682,0.2500,true,spatial,,OK,he found his keys under the couch with the pillows
trog_pluralmorph_boy_stand_chairs,trog_pluralmorph_boy_stand_chairs,0.8860,0.8330,0.8430,-1.372561,2.333650,-2.120625,-2.258209,-1.875648,0.2500,true,other,,OK,the boy stands on the chairs
trog_comparative_shoe_bigger_bird,trog_comparative_shoe_bigger_bird,0.8860,0.8330,0.8950,-1.618470,2.735978,-1.627475,-1.643917,-1.763069,0.2500,true,comparative+adjective,,OK,the shoe is bigger than the bird
trog_notonly_notonly_bird_flower_blue,trog_notonly_notonly_bird_flower_blue,0.8860,0.8330,0.9110,-1.238294,3.107704,-1.432786,-1.308388,-1.929483,0.2500,true,negation+adjective,,OK,not only the bird but also the flower is blue
trog_relclause_square_in_star_that_blue,trog_relclause_square_in_star_that_blue,0.8860,0.8330,0.6700,-2.103510,1.232187,-1.275192,-1.020090,-1.751936,0.2500,true,spatial+adjective,,OK,the square is in the star that is blue
trog_pluralmorph_girl_drop_cups,trog_pluralmorph_girl_drop_cups,0.8980,0.8340,0.9030,-1.991912,3.206937,-2.129026,-2.131606,-1.919742,0.2500,true,other,,OK,the girl drops the cups
trog_compprepcond_instead_homework_she_do_puzzle,trog_compprepcond_instead_homework_she_do_puzzle,0.9060,0.8340,0.6180,,0.536202,-1.283593,,,0.2500,false,spatial,,OK,Instead of doing homework she did a puzzle in her room.
trog_xnoty_cat_big_not_black,trog_xnoty_cat_big_not_black,0.9090,0.8610,0.9080,-1.940383,3.160058,-1.683546,-1.881207,-2.107971,0.2500,true,negation+adjective,,OK,the cat is big but not black
trog_notonly_notonly_girl_cat_sit,trog_notonly_notonly_girl_cat_sit,0.9090,0.8610,0.9010,-2.196203,3.122348,-1.683546,-1.567181,-1.939241,0.2500,true,negation,,OK,not only the girl but also the cat is sitting
trog_abovebelow_star_above_circle,trog_abovebelow_star_above_circle,0.9200,0.8610,0.9250,0.039041,3.152003,-1.525952,-1.647757,-2.120614,0.2500,true,spatial,,OK,the star is above the circle
trog_abovebelow_square_below_star,trog_abovebelow_square_below_star,0.9200,0.8610,0.7940,-3.230933,2.255957,-1.525952,-1.295903,-1.963748,0.2500,true,spatial,,OK,the square is below the star
trog_notonly_girl_notonly_food_drink,trog_notonly_girl_notonly_food_drink,0.9200,0.8610,0.9550,-0.989561,3.764549,-1.683546,-1.672995,-2.117926,0.2500,true,negation,,OK,the girl has not only food but also a drink
trog_neither_boy_nor_horse_run,trog_neither_boy_nor_horse_run,0.9200,0.8610,0.8950,0.025909,2.706827,-1.683546,-1.881207,-2.107971,0.2500,true,negation,,OK,neither the boy nor the horse is running
trog_pluralpronoun_they_jump_wall,trog_pluralpronoun_they_jump_wall,0.9320,0.8610,0.8380,-2.837303,2.892400,-2.371385,-2.185717,-1.939241,0.2500,true,other,,OK,they are jumping over the wall
trog_conditional_we_picnic_if_park_sunny,trog_conditional_we_picnic_if_park_sunny,0.9320,0.8610,0.9170,0.425471,3.026081,-2.371385,-2.474162,-2.120614,0.2500,true,other,,OK,we will have a picnic in the park if it is sunny
trog_inon_pencil_on_box,trog_inon_pencil_on_box,0.9430,0.8610,0.9340,-1.190335,3.378429,-1.525952,-1.295903,-1.963748,0.2500,true,spatial,,OK,the pencil is on the box
trog_embedding_circle_star_in_red,trog_embedding_circle_star_in_red,0.9430,0.8610,0.5980,-1.698029,0.744461,-1.725096,-1.794554,-2.117926,0.2500,true,relative_clause+spatial+adjective,,OK,the circle the star is in is red
trog_depclause_she_gardener_wear_hat_flower,trog_depclause_she_gardener_wear_hat_flower,0.9540,0.8610,0.8080,-1.280546,1.726082,-2.570529,-2.624588,-2.107971,0.2500,true,relative_clause,,OK,she is the gardener who wears the hat that has a flower
trog_3combo_girl_sit_table,trog_3combo_girl_sit_table,0.9550,0.9040,0.9050,-3.312828,3.758081,-2.848177,-2.708078,-2.274212,0.2500,true,other,,OK,the girl is sitting on the table
trog_pluralpronoun_elephant_carry_them,trog_pluralpronoun_elephant_carry_them,0.9550,0.9040,0.9120,-2.663359,3.995384,-2.848177,-2.902709,-2.484028,0.2500,true,other,,OK,the elephant is carrying them
trog_revactive_girl_push_horse,trog_revactive_girl_push_horse,0.9550,0.9040,0.9360,-3.004953,4.100267,-3.879215,-4.207044,-2.366485,0.2500,true,reverse_agent,,OK,the girl is pushing the horse
trog_pluralmorph_cats_look_ball,trog_pluralmorph_cats_look_ball,0.9550,0.9040,0.8880,-2.212058,3.097286,-2.848177,-2.826987,-2.507813,0.2500,true,other,,OK,the cats look at the ball
trog_notonly_box_notonly_big_blue,trog_notonly_box_notonly_big_blue,0.9550,0.9040,0.9270,-0.742966,3.519051,-2.160339,-2.379858,-2.549708,0.2500,true,negation+adjective,,OK,the box is not only big but also blue
trog_causal_she_trip_rock_drop_book,trog_causal_she_trip_rock_drop_book,0.9660,0.9090,0.8780,,2.635791,-2.914673,,,0.2500,false,other,,OK,She tripped on a rock and dropped her books.
trog_verb_running,trog_verb_running,0.9660,0.9090,0.9190,-3.499904,3.883618,-2.914673,-2.780929,-2.320929,0.2500,true,other,,OK,Choose the picture that shows running.
trog_3combo_man_eat_apple,trog_3combo_man_eat_apple,0.9660,0.9090,0.9520,-3.438150,5.034814,-2.914673,-2.962476,-2.534711,0.2500,true,other,,OK,the man is eating the apple
trog_3combo_woman_carry_bag,trog_3combo_woman_carry_bag,0.9660,0.9090,0.8970,-2.892621,3.682185,-2.914673,-2.874438,-2.422653,0.2500,true,other,,OK,the lady is carrying the bag
trog_2combo_big_cup,trog_2combo_big_cup,0.9770,0.9090,0.9050,-3.357089,3.546260,-2.914673,-2.891286,-2.562189,0.2500,true,adjective,,OK,the big cup
trog_pluralmorph_boys_pick_apples,trog_pluralmorph_boys_pick_apples,0.9890,0.9090,0.8920,-1.618470,3.060976,-2.914673,-3.088661,-2.611315,0.2500,true,other,,OK,the boys pick the apples
trog_2combo_boy_run,trog_2combo_boy_run,0.9890,0.9220,0.9630,-3.625431,,-3.103683,-2.988003,-2.453718,0.2500,true,other,,OK,the boy is running
trog_negative_boy_not_run,trog_negative_boy_not_run,0.9890,0.9220,0.8880,-2.863393,3.533487,-2.415844,-2.191973,-2.678775,0.2500,true,negation,,OK,the boy is not running
trog_negative_girl_not_jump,trog_negative_girl_not_jump,0.9890,0.9220,0.9410,-3.190307,4.543553,-2.415844,-2.500764,-2.582305,0.2500,true,negation,,OK,the girl is not jumping
trog_negative_dog_not_sit,trog_negative_dog_not_sit,0.9890,0.9220,0.9260,-3.107114,4.290194,-2.415844,-2.381089,-2.716748,0.2500,true,negation,,OK,the dog is not sitting
trog_3combo_boy_jump_box,trog_3combo_boy_jump_box,0.9890,0.9220,0.9120,-3.437028,3.755276,-3.103683,-3.286336,-2.786428,0.2500,true,other,,OK,the boy is jumping over the box
trog_pluralpronoun_they_sit_table,trog_pluralpronoun_they_sit_table,0.9890,0.9220,0.8940,-3.035293,3.899647,-3.103683,-2.988003,-2.453718,0.2500,true,other,,OK,they are sitting on the table
trog_comparative_box_bigger_cup,trog_comparative_box_bigger_cup,0.9890,0.9220,0.9630,-1.372561,4.060950,-2.610533,-2.844364,-2.678775,0.2500,true,comparative+adjective,,OK,the box is bigger than the cup
trog_xnoty_boy_sit_not_eat,trog_xnoty_boy_sit_not_eat,0.9890,0.9220,0.9720,-0.312857,,-2.415844,-2.500764,-2.582305,0.2500,true,negation,,OK,the boy is sitting but not eating
trog_noun_shoe,trog_noun_shoe,1.0000,0.9470,0.9470,,,-3.563942,,,0.2500,false,other,,CEILING,Choose the picture of the shoe.
trog_noun_bird,trog_noun_bird,1.0000,0.9470,0.9530,,,-3.563942,,,0.2500,false,other,,CEILING,Choose the picture of the bird.
trog_noun_comb,trog_noun_comb,1.0000,0.9470,0.9300,,,-3.563942,,,0.2500,false,other,,CEILING,Choose the picture of the comb.
trog_noun_apple,trog_noun_apple,1.0000,0.9470,0.9750,,,-3.563942,,,0.2500,false,other,,CEILING,Choose the picture of the apple.
trog_verb_eating,trog_verb_eating,1.0000,0.9470,0.9250,-3.675354,4.388161,-3.563942,-3.519095,-3.093116,0.2500,true,other,,CEILING,Choose the picture that shows eating.
trog_verb_picking,trog_verb_picking,1.0000,0.9470,0.8930,-2.965304,3.661984,-3.563942,-3.767697,-3.212848,0.2500,true,other,,CEILING,Choose the picture that shows picking.
trog_verb_sitting,trog_verb_sitting,1.0000,0.9470,0.9430,-3.732536,,-3.563942,-3.492251,-2.777074,0.2500,true,other,,CEILING,Choose the picture that shows sitting.
trog_adjective_long,trog_adjective_long,1.0000,0.9470,0.9660,-4.231416,5.099315,-3.563942,-3.546048,-3.029588,0.2500,true,adjective,,CEILING,Choose the picture that shows long.
trog_adjective_red,trog_adjective_red,1.0000,0.9470,0.9430,-4.495436,4.398847,-3.563942,-3.588573,-2.971078,0.2500,true,adjective,,CEILING,Choose the picture that shows red.
trog_adjective_black,trog_adjective_black,1.0000,0.9470,0.9580,-4.052847,5.069045,-3.563942,-3.519095,-3.093116,0.2500,true,adjective,,CEILING,Choose the picture that shows black.
trog_2combo_dog_sit,trog_2combo_dog_sit,1.0000,0.9470,0.9460,-3.546467,4.542009,-3.563942,-3.767697,-3.212848,0.2500,true,other,,CEILING,the dog is sitting
trog_2combo_red_ball,trog_2combo_red_ball,1.0000,0.9470,0.9730,-4.087228,5.623718,-3.563942,-3.492251,-2.777074,0.2500,true,adjective,,CEILING,the red ball
trog_negative_dog_not_drink,trog_negative_dog_not_drink,1.0000,0.9470,0.9080,-3.320136,3.773203,-2.876104,-2.605660,-3.029588,0.2500,true,negation,,CEILING,the dog is not drinking
trog_inon_cup_in_box,trog_inon_cup_in_box,1.0000,0.9470,0.8780,-2.643545,2.983490,-2.718510,-2.607604,-2.971078,0.2500,true,spatial,,CEILING,the cup is in the box
