corpus_item_id,sheet_row,corpus_id,item_id,task,answer,assessment_stage,block_index,chance_level,image,item,item_uid,prompt,randomize,required_selections,response_alternatives,time_limit,trial_num,trial_type,audio_file,row,downex,difficulty,discrimination,block_threshold
tom-v2 ToM-scene2-q1-false_belief,theory-of-mind-v2_11,theory-of-mind-v2,ToM-scene2-q1-false_belief,theory-of-mind,shelf,test_response,2,0.50,,2d,tom_moral_reasoning_false_belief_1,"Now, when Ethan comes in from outside, where will he look first for his book?",at_block_level,,coats,,,false_belief_question,ToM-scene2-q1-false_belief,11,,-0.636004,,
tom-v2 ToM-scene2-instruct4,theory-of-mind-v2_12,theory-of-mind-v2,ToM-scene2-instruct4,theory-of-mind,,instructions,2,,,2e,,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!",no,,,,,instructions,ToM-scene2-instruct4,12,,,,
tom-v2 ToM-scene2-q2-emotion_reasoning,theory-of-mind-v2_13,theory-of-mind-v2,ToM-scene2-q2-emotion_reasoning,theory-of-mind,angry,test_response,2,0.25,,2g,tom_moral_reasoning_emotion_reasoning_1,How do you think Hannah feels about Ethan reaching for that book?,yes,,"happy,calm,scared",,,emotion_reasoning_question,ToM-scene2-q2-emotion_reasoning,13,,-1.035034,,
tom-v2 ToM-scene2-q7-emotion_reasoning,theory-of-mind-v2_14,theory-of-mind-v2,ToM-scene2-q7-emotion_reasoning,theory-of-mind,calm,test_response,2,0.25,,2g,tom_moral_reasoning_emotion_reasoning_2,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,yes,,"happy,angry,scared",,,emotion_reasoning_question,ToM-scene2-q7-emotion_reasoning,14,,,,
tom-v2 ToM-scene2-q3-false_belief,theory-of-mind-v2_15,theory-of-mind-v2,ToM-scene2-q3-false_belief,theory-of-mind,no,test_response,2,0.50,,2f_new2,tom_moral_reasoning_false_belief_2,Is Ethan being mean and naughty for taking Hannah's book?,no,,yes,,,false_belief_question,ToM-scene2-q3-false_belief,15,,-0.636004,,
tom-v2 ToM-scene2-q4-false_belief,theory-of-mind-v2_16,theory-of-mind-v2,ToM-scene2-q4-false_belief,theory-of-mind,no,test_response,2,0.50,,2f_new2,tom_moral_reasoning_false_belief_3,Should Ethan get in trouble with the teacher for taking Hannah's book?,no,,yes,,,false_belief_question,ToM-scene2-q4-false_belief,16,,,,
tom-v2 ToM-scene2-q5-reality_check,theory-of-mind-v2_17,theory-of-mind-v2,ToM-scene2-q5-reality_check,theory-of-mind,shelf,test_response,2,0.50,,2g,tom_moral_reasoning_reality_check_1,Can you help Hannah find her book? Is it on the shelf or under the coats?,at_block_level,,coats,,,reality_check_question,ToM-scene2-q5-reality_check,17,,,,
tom-v2 ToM-scene2-q6-reality_check,theory-of-mind-v2_18,theory-of-mind-v2,ToM-scene2-q6-reality_check,theory-of-mind,coats,test_response,2,0.50,,2f_new2,tom_moral_reasoning_reality_check_2,Can you help Ethan find his book? Is it on the shelf or under the coats?,at_block_level,,shelf,,,reality_check_question,ToM-scene2-q6-reality_check,18,,,,
tom-v2 ToM-transition,theory-of-mind-v2_19,theory-of-mind-v2,ToM-transition,theory-of-mind,,instructions,3,,,,,Nice work! Here is a new story.,no,,,,,instructions,ToM-transition,19,,,,
tom-v2 ToM-scene3-instruct1,theory-of-mind-v2_20,theory-of-mind-v2,ToM-scene3-instruct1,theory-of-mind,,instructions,3,,,3a_2,,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them.",no,,,,,instructions,ToM-scene3-instruct1,20,,,,
tom-v2 ToM-scene3-instruct2,theory-of-mind-v2_21,theory-of-mind-v2,ToM-scene3-instruct2,theory-of-mind,,instructions,3,,,3a_1,,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide.",no,,,,,instructions,ToM-scene3-instruct2,21,,,,
tom-v2 ToM-scene3-instruct3,theory-of-mind-v2_22,theory-of-mind-v2,ToM-scene3-instruct3,theory-of-mind,,instructions,3,,,3c_nopicture,,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",no,,,,,instructions,ToM-scene3-instruct3,22,,,,
tom-v2 ToM-scene3-instruct4,theory-of-mind-v2_23,theory-of-mind-v2,ToM-scene3-instruct4,theory-of-mind,,instructions,3,,,3c,,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.",no,,,,,instructions,ToM-scene3-instruct4,23,,,,
tom-v2 ToM-scene3-q1,theory-of-mind-v2_24,theory-of-mind-v2,ToM-scene3-q1,theory-of-mind,fountain,test_response,3,0.50,,3d,tom_interpretation_reality_check_1,What did Joshua mean to draw?,at_block_level,,tree,,,reality_check_question,ToM-scene3-q1,24,,-0.636004,,
tom-v2 ToM-scene3-q2-false_belief,theory-of-mind-v2_25,theory-of-mind-v2,ToM-scene3-q2-false_belief,theory-of-mind,behind-tree,test_response,3,0.50,,3d,tom_interpretation_false_belief,"When Isabel and Ivan see this clue, where will they look first for Joshua?",at_block_level,,behind-fountain,,,false_belief_question,ToM-scene3-q2-false_belief,25,,-0.636004,,
tom-v2 ToM-scene3-q2-reality_check,theory-of-mind-v2_26,theory-of-mind-v2,ToM-scene3-q2-reality_check,theory-of-mind,behind-fountain,test_response,3,0.50,,3d,tom_interpretation_reality_check_2,Can you help them find where Joshua really is?,at_block_level,,behind-tree,,,reality_check_question,ToM-scene3-q2-reality_check,26,,-0.636004,,
tom-v2 ToM-scene3-q3-emotion_reasoning,theory-of-mind-v2_27,theory-of-mind-v2,ToM-scene3-q3-emotion_reasoning,theory-of-mind,proud,test_response,3,0.25,,3e,tom_interpretation_emotion_reasoning,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?",yes,,"surprised,sad,scared",,,emotion_reasoning_question,ToM-scene3-q3-emotion_reasoning,27,,-1.035034,,
tom-v2 ToM-scene4-instruct1,theory-of-mind-v2_28,theory-of-mind-v2,ToM-scene4-instruct1,theory-of-mind,,instructions,4,,,4a,,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys.",no,,,,,instructions,ToM-scene4-instruct1,28,,,,
tom-v2 ToM-scene4-instruct2,theory-of-mind-v2_29,theory-of-mind-v2,ToM-scene4-instruct2,theory-of-mind,,instructions,4,,,4b_new2,,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it.",no,,,,,instructions,ToM-scene4-instruct2,29,,,,
tom-v2 ToM-scene4-q1-emotion_reasoning,theory-of-mind-v2_30,theory-of-mind-v2,ToM-scene4-q1-emotion_reasoning,theory-of-mind,sad,test_response,4,0.25,,4b_new2,tom_deception_emotion_reasoning_1,How does Joshua feel about losing his truck?,yes,,"happy,proud,disgusted",,,emotion_reasoning_question,ToM-scene4-q1-emotion_reasoning,30,,-1.035034,,
tom-v2 ToM-scene4-q8-emotion_reasoning,theory-of-mind-v2_31,theory-of-mind-v2,ToM-scene4-q8-emotion_reasoning,theory-of-mind,happy,test_response,4,0.25,,4b_new2,tom_deception_emotion_reasoning_2,How would Joshua feel if he found his truck?,yes,,"sad,scared,proud",,,emotion_reasoning_question,ToM-scene4-q8-emotion_reasoning,31,,-1.035034,,
tom-v2 ToM-scene4-instruct3,theory-of-mind-v2_32,theory-of-mind-v2,ToM-scene4-instruct3,theory-of-mind,,instructions,4,,,4c_1,,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox.",no,,,,,instructions,ToM-scene4-instruct3,32,,,,
tom-v2 ToM-scene4-instruct4,theory-of-mind-v2_33,theory-of-mind-v2,ToM-scene4-instruct4,theory-of-mind,,instructions,4,,,4c_2,,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.",no,,,,,instructions,ToM-scene4-instruct4,33,,,,
tom-v2 ToM-scene4-q2,theory-of-mind-v2_34,theory-of-mind-v2,ToM-scene4-q2,theory-of-mind,no,test_response,4,0.50,,4c_new3,tom_deception_false_belief_1,Is it fair that Mother is mad at Joshua for losing his truck?,no,,yes,,,false_belief_question,ToM-scene4-q2,34,,-0.636004,,
tom-v2 ToM-scene4-q3,theory-of-mind-v2_35,theory-of-mind-v2,ToM-scene4-q3,theory-of-mind,no,test_response,4,0.50,,4c_new3,tom_deception_false_belief_2,Is Mother mad at Isabel?,no,,yes,,,false_belief_question,ToM-scene4-q3,35,,-0.636004,,
tom-v2 ToM-scene4-q4-false_belief,theory-of-mind-v2_36,theory-of-mind-v2,ToM-scene4-q4-false_belief,theory-of-mind,no,test_response,4,0.50,,4c_new3,tom_deception_false_belief_3,Is Joshua mad at Isabel?,no,,yes,,,false_belief_question,ToM-scene4-q4-false_belief,36,,0.32118,,
tom-v2 ToM-scene4-instruct5,theory-of-mind-v2_37,theory-of-mind-v2,ToM-scene4-instruct5,theory-of-mind,,instructions,4,,,4d,,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.",no,,,,,instructions,ToM-scene4-instruct5,37,,,,
tom-v2 ToM-scene4-q5,theory-of-mind-v2_38,theory-of-mind-v2,ToM-scene4-q5,theory-of-mind,no,test_response,4,0.50,,4g,tom_deception_reality_check_1,Is Mother mad at Joshua now?,no,,yes,,,reality_check_question,ToM-scene4-q5,38,,-0.636004,,
tom-v2 ToM-scene4-q6,theory-of-mind-v2_39,theory-of-mind-v2,ToM-scene4-q6,theory-of-mind,yes,test_response,4,0.50,,4g,tom_deception_reality_check_2,Is Mother mad at Isabel now?,no,,no,,,reality_check_question,ToM-scene4-q6,39,,,,
tom-v2 ToM-scene4-q7,theory-of-mind-v2_40,theory-of-mind-v2,ToM-scene4-q7,theory-of-mind,yes,test_response,4,0.50,,4g,tom_deception_reality_check_3,Is Joshua mad at Isabel now?,no,,no,,,reality_check_question,ToM-scene4-q7,40,,,,
tom-v2 ToM-scene4-instruct6,theory-of-mind-v2_41,theory-of-mind-v2,ToM-scene4-instruct6,theory-of-mind,,instructions,4,,,4f_new2,,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.",no,,,,,instructions,ToM-scene4-instruct6,41,,,,
tom-v2 ToM-transition,theory-of-mind-v2_42,theory-of-mind-v2,ToM-transition,theory-of-mind,,instructions,5,,,,,Nice work! Here is a new story.,no,,,,,instructions,ToM-transition,42,,,,
tom-v2 ToM-scene5-instruct1,theory-of-mind-v2_43,theory-of-mind-v2,ToM-scene5-instruct1,theory-of-mind,,instructions,5,,,5b_new6,,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf.",no,,,,,instructions,ToM-scene5-instruct1,43,,,,
tom-v2 ToM-scene5-instruct2,theory-of-mind-v2_44,theory-of-mind-v2,ToM-scene5-instruct2,theory-of-mind,,instructions,5,,,5c_new6,,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”",no,,,,,instructions,ToM-scene5-instruct2,44,,,,
tom-v2 ToM-scene5-q1,theory-of-mind-v2_45,theory-of-mind-v2,ToM-scene5-q1,theory-of-mind,medium_cup,test_response,5,0.33,,5c_new6,tom_reference_reference,Which cup will Dad give Katie?,at_block_level,,"small_cup,large_cup",,,reference_question,ToM-scene5-q1,45,,,,
tom-v2 ToM-scene5-q2-reality_check,theory-of-mind-v2_46,theory-of-mind-v2,ToM-scene5-q2-reality_check,theory-of-mind,large_cup,test_response,5,0.33,,5c_new6,tom_reference_reality_check,Which cup does Katie want?,at_block_level,,"small_cup,medium_cup",,,reality_check_question,ToM-scene5-q2-reality_check,46,,-0.930506,,
tom-v2 ToM-scene5-q3-emotion_reasoning,theory-of-mind-v2_47,theory-of-mind-v2,ToM-scene5-q3-emotion_reasoning,theory-of-mind,sad,test_response,5,0.25,,5d,tom_reference_emotion_reasoning_1,How does Katie feel about not getting the cup she wanted?,yes,,"proud,scared,happy",,,emotion_reasoning_question,ToM-scene5-q3-emotion_reasoning,47,,-1.035034,,
tom-v2 ToM-scene5-q4-emotion_reasoning,theory-of-mind-v2_48,theory-of-mind-v2,ToM-scene5-q4-emotion_reasoning,theory-of-mind,happy,test_response,5,0.25,,5d,tom_reference_emotion_reasoning_2,How would Katie feel if she had received the cup she wanted?,yes,,"sad,scared,proud",,,emotion_reasoning_question,ToM-scene5-q4-emotion_reasoning,48,,-1.035034,,
tom-v2 ToM-transition,theory-of-mind-v2_49,theory-of-mind-v2,ToM-transition,theory-of-mind,,instructions,6,,,,,Nice work! Here is a new story.,no,,,,,instructions,ToM-transition,49,,,,
tom-v2 ToM-scene6-instruct1,theory-of-mind-v2_50,theory-of-mind-v2,ToM-scene6-instruct1,theory-of-mind,,instructions,6,,,6a_new2,,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.",no,,,,,instructions,ToM-scene6-instruct1,50,,,,
tom-v2 ToM-scene6-instruct2,theory-of-mind-v2_51,theory-of-mind-v2,ToM-scene6-instruct2,theory-of-mind,,instructions,6,,,6b_new2,,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.",no,,,,,instructions,ToM-scene6-instruct2,51,,,,
tom-v2 ToM-scene6-q1,theory-of-mind-v2_52,theory-of-mind-v2,ToM-scene6-q1,theory-of-mind,no,test_response,6,0.50,,6b_new2,tom_second_order_reality_check,Does Maria know that they are selling shoes in the shop?,no,,yes,,,reality_check_question,ToM-scene6-q1,52,,-0.636004,,
tom-v2 ToM-scene6-instruct3,theory-of-mind-v2_53,theory-of-mind-v2,ToM-scene6-instruct3,theory-of-mind,,instructions,6,,,6c_new2,,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.",no,,,,,instructions,ToM-scene6-instruct3,53,,,,
tom-v2 ToM-scene6-q2,theory-of-mind-v2_54,theory-of-mind-v2,ToM-scene6-q2,theory-of-mind,no,test_response,6,0.50,,6c_new2,tom_second_order_false_belief_1,Does Sam know that Maria bought some socks?,no,,yes,,,false_belief_question,ToM-scene6-q2,54,,-0.636004,,
tom-v2 ToM-scene6-q3,theory-of-mind-v2_55,theory-of-mind-v2,ToM-scene6-q3,theory-of-mind,shoes,test_response,6,0.33,,6c_new2,tom_second_order_false_belief_2,What does Sam think they are selling at the shop?,at_block_level,,"shirts,socks",,,false_belief_question,ToM-scene6-q3,55,,-0.930506,,
tom-v2 ToM-scene6-instruct4,theory-of-mind-v2_56,theory-of-mind-v2,ToM-scene6-instruct4,theory-of-mind,,instructions,6,,,6d_new2,,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.” “That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”",no,,,,,instructions,ToM-scene6-instruct4,56,,,,
tom-v2 ToM-scene6-q4,theory-of-mind-v2_57,theory-of-mind-v2,ToM-scene6-q4,theory-of-mind,no,test_response,6,0.50,,6d_new2,tom_second_order_false_belief_3,What does Maria tell dad?,no,,yes,,,false_belief_question,ToM-scene6-q4,57,,,,
tom-v2 ToM-scene6-instruct5,theory-of-mind-v2_58,theory-of-mind-v2,ToM-scene6-instruct5,theory-of-mind,,instructions,6,,,6d_new2,,Then dad asks: “What does Sam think they are selling at the shop?”,no,,,,,instructions,ToM-scene6-instruct5,58,,,,
tom-v2 ToM-scene6-q5,theory-of-mind-v2_59,theory-of-mind-v2,ToM-scene6-q5,theory-of-mind,shirts,test_response,6,0.33,,6d_new2,tom_second_order_false_belief_4,What does Maria tell dad?,at_block_level,,"shoes,socks",,,false_belief_question,ToM-scene6-q5,59,,,,
tom-v2 ToM-scene6-q6,theory-of-mind-v2_60,theory-of-mind-v2,ToM-scene6-q6,theory-of-mind,shoes,test_response,6,0.33,,6d_new2,tom_second_order_false_belief_5,What does Sam think they are selling at the shop?,at_block_level,,"shirts,socks",,,false_belief_question,ToM-scene6-q6,60,,,,
tom-v2 ToM-scene6-instruct6,theory-of-mind-v2_61,theory-of-mind-v2,ToM-scene6-instruct6,theory-of-mind,,instructions,6,,,6e_new,,Sam is very happy to get his new socks.,no,,,,,instructions,ToM-scene6-instruct6,61,,,,
