source,block_index,task,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,item_uid,d
clip,1,vocab,vocab-item-020,coaster,coaster,test,"card,painting,hummingbird",0.25,test_response,coaster,vocab__coaster,-0.4266
clip,1,vocab,vocab-item-021,cork,cork,test,"jersey,skateboard,mascara",0.25,test_response,cork,vocab__cork,-2.0911
clip,1,vocab,vocab-item-022,cornbread,cornbread,test,"corn,wreath,organ",0.25,test_response,cornbread,vocab__cornbread,-2.6628
clip,1,vocab,vocab-item-023,corset,corset,test,"harness,mantle,bonsai",0.25,test_response,corset,vocab__corset,-0.041
clip,1,vocab,vocab-item-024,dumpling,dumpling,test,"meatball,rocket,coyote",0.25,test_response,dumpling,vocab__dumpling,-2.3386
clip,1,vocab,vocab-item-025,elbow,elbow,test,"arm,bed,gorilla",0.25,test_response,elbow,vocab__elbow,-2.2687
clip,1,vocab,vocab-item-026,fan,fan,test,"album,boulder,chipmunk",0.25,test_response,fan,vocab__fan,-4.0501
clip,1,vocab,vocab-item-027,foam,foam,test,"float,quilt,asparagus",0.25,test_response,foam,vocab__foam,-2.4014
clip,1,vocab,vocab-item-028,footbath,footbath,test,"trough,vest,rhinoceros",0.25,test_response,footbath,vocab__footbath,NA
clip,1,vocab,vocab-item-029,fruitcake,fruitcake,test,"dough,fudge,anvil",0.25,test_response,fruitcake,vocab__fruitcake,-2.7469
clip,1,vocab,vocab-item-030,gutter,gutter,test,"almond,filter,porthole",0.25,test_response,gutter,vocab__gutter,-0.7046
clip,1,vocab,vocab-item-031,hamster,hamster,test,"rabbit,tadpole,skirt",0.25,test_response,hamster,vocab__hamster,-4.0798
clip,1,vocab,vocab-item-032,hedgehog,hedgehog,test,"iguana,owl,dumbwaiter",0.25,test_response,hedgehog,vocab__hedgehog,NA
clip,1,vocab,vocab-item-033,hoe,hoe,test,"dustpan,peg,beaker",0.25,test_response,hoe,vocab__hoe,-1.6399
clip,1,vocab,vocab-item-034,hopscotch,hopscotch,test,"chalk,funnel,jug",0.25,test_response,hopscotch,vocab__hopscotch,-2.7237
clip,1,vocab,vocab-item-035,kimono,kimono,test,"cardigan,turntable,cable",0.25,test_response,kimono,vocab__kimono,-0.6306
clip,1,vocab,vocab-item-036,latch,latch,test,"lock,microwave,umbrella",0.25,test_response,latch,vocab__latch,-1.8556
clip,1,vocab,vocab-item-037,locker,locker,test,"basket,cabinet,gargoyle",0.25,test_response,locker,vocab__locker,-3.9611
clip,1,vocab,vocab-item-038,lollipop,lollipop,test,"candy,doorbell,crumb",0.25,test_response,lollipop,vocab__lollipop,-5.6081
clip,1,vocab,vocab-item-039,map,map,test,"marker,ruby,dishwasher",0.25,test_response,map,vocab__map,-3.7111
clip,1,vocab,vocab-item-040,marshmallow,marshmallow,test,"dryer,snowball,rooster",0.25,test_response,marshmallow,vocab__marshmallow,NA
clip,1,vocab,vocab-item-041,net,net,test,"domino,tee,hydrant",0.25,test_response,net,vocab__net,NA
clip,1,vocab,vocab-item-042,oil,oil,test,"gel,grain,bassinet",0.25,test_response,oil,vocab__oil,NA
clip,1,vocab,vocab-item-043,omelet,omelet,test,"clay,pancake,trunk",0.25,test_response,omelet,vocab__omelet,-2.4992
clip,1,vocab,vocab-item-044,pie,pie,test,"flashlight,pizza,sweater",0.25,test_response,pie,vocab__pie,NA
clip,1,vocab,vocab-item-045,pistachio,pistachio,test,"avocado,taco,bagpipe",0.25,test_response,pistachio,vocab__pistachio,-2.1195
clip,1,vocab,vocab-item-046,pitcher,pitcher,test,"batter,tumbleweed,medal",0.25,test_response,pitcher,vocab__pitcher,-0.0966
clip,1,vocab,vocab-item-047,potato,potato,test,"glasses,pot,dragonfly",0.25,test_response,potato,vocab__potato,NA
clip,1,vocab,vocab-item-048,prism,prism,test,"radar,subway,chinchilla",0.25,test_response,prism,vocab__prism,-0.9176
clip,1,vocab,vocab-item-049,puddle,puddle,test,"baseball,bubble,salami",0.25,test_response,puddle,vocab__puddle,-3.1186
clip,1,vocab,vocab-item-050,pump,pump,test,"coat,plug,scarf",0.25,test_response,pump,vocab__pump,-1.8656
clip,1,vocab,vocab-item-051,rice,rice,test,"box,dice,bedpost",0.25,test_response,rice,vocab__rice,NA
clip,1,vocab,vocab-item-052,saddle,saddle,test,"figurine,handle,broccoli",0.25,test_response,saddle,vocab__saddle,-2.482
clip,1,vocab,vocab-item-053,sandbag,sandbag,test,"sandpaper,valve,octopus",0.25,test_response,sandbag,vocab__sandbag,-1.9166
clip,1,vocab,vocab-item-054,scaffolding,scaffolding,test,"satellite,veil,antelope",0.25,test_response,scaffolding,vocab__scaffolding,-0.1618
clip,1,vocab,vocab-item-055,scoop,scoop,test,"sauce,statue,cauliflower",0.25,test_response,scoop,vocab__scoop,-1.0753
clip,1,vocab,vocab-item-056,seagull,seagull,test,"lobster,pigeon,perfume",0.25,test_response,seagull,vocab__seagull,-3.0402
clip,1,vocab,vocab-item-057,ship,ship,test,"boat,nose,zucchini",0.25,test_response,ship,vocab__ship,NA
clip,1,vocab,vocab-item-058,shower,shower,test,"soap,toe,cantaloupe",0.25,test_response,shower,vocab__shower,-4.1759
clip,1,vocab,vocab-item-059,silverware,silverware,test,"garlic,trophy,eggnog",0.25,test_response,silverware,vocab__silverware,-2.3136
clip,1,vocab,vocab-item-060,sink,sink,test,"stair,toilet,knitting",0.25,test_response,sink,vocab__sink,NA
clip,1,vocab,vocab-item-061,ski,ski,test,"ice,suitcase,pincushion",0.25,test_response,ski,vocab__ski,-3.3404
clip,1,vocab,vocab-item-062,sloth,sloth,test,"clam,donkey,incense",0.25,test_response,sloth,vocab__sloth,-3.0409
clip,1,vocab,vocab-item-063,snail,snail,test,"cow,worm,visor",0.25,test_response,snail,vocab__snail,-2.6348
clip,1,vocab,vocab-item-064,sorbet,sorbet,test,"palette,tamale,chive",0.25,test_response,sorbet,vocab__sorbet,-0.111
clip,1,vocab,vocab-item-065,spatula,spatula,test,"lava,paddle,pheasant",0.25,test_response,spatula,vocab__spatula,-1.9441
clip,1,vocab,vocab-item-066,sprinkler,sprinkler,test,"flower,sparkler,charcoal",0.25,test_response,sprinkler,vocab__sprinkler,-2.5125
clip,1,vocab,vocab-item-067,squash,squash,test,"branch,pumpkin,gazelle",0.25,test_response,squash,vocab__squash,NA
clip,1,vocab,vocab-item-068,squirrel,squirrel,test,"eagle,monkey,shorts",0.25,test_response,squirrel,vocab__squirrel,NA
clip,1,vocab,vocab-item-069,stew,stew,test,"mixer,soup,orchid",0.25,test_response,stew,vocab__stew,-0.0446
clip,1,vocab,vocab-item-070,rubber band,rubber band,test,"drill,thermostat,vase",0.25,test_response,rubber_band,vocab__rubberband,NA
clip,1,vocab,vocab-item-071,stump,stump,test,"bookshelf,log,showerhead",0.25,test_response,stump,vocab__stump,-1.7437
clip,1,vocab,vocab-item-072,sunflower,sunflower,test,"pineapple,rim,pinball",0.25,test_response,sunflower,vocab__sunflower,-4.1555
clip,1,vocab,vocab-item-073,swordfish,swordfish,test,"catfish,leopard,graffiti",0.25,test_response,swordfish,vocab__swordfish,-0.4291
clip,1,vocab,vocab-item-074,tapestry,tapestry,test,"backdrop,leggings,forklift",0.25,test_response,tapestry,vocab__tapestry,-0.8979
clip,1,vocab,vocab-item-075,teabag,teabag,test,"fingerprint,tea,braid",0.25,test_response,teabag,vocab__teabag,NA
clip,1,vocab,vocab-item-076,telescope,telescope,test,"tripod,windshield,anklet",0.25,test_response,telescope,vocab__telescope,-3.3639
clip,1,vocab,vocab-item-077,thermos,thermos,test,"firewood,oilcan,coral",0.25,test_response,thermos,vocab__thermos,-0.4268
clip,1,vocab,vocab-item-078,treasure,treasure,test,"gift,rope,lamp",0.25,test_response,treasure,vocab__treasure,-3.1866
clip,1,vocab,vocab-item-079,trumpet,trumpet,test,"flute,violin,coleslaw",0.25,test_response,trumpet,vocab__trumpet,NA
clip,1,vocab,vocab-item-080,tulip,tulip,test,"glove,rose,hubcap",0.25,test_response,tulip,vocab__tulip,-1.3736
clip,1,vocab,vocab-item-081,turbine,turbine,test,"generator,tab,pesto",0.25,test_response,turbine,vocab__turbine,0.1884
clip,1,vocab,vocab-item-082,turkey,turkey,test,"goat,swan,pencil",0.25,test_response,turkey,vocab__turkey,-4.4343
clip,1,vocab,vocab-item-083,turtle,turtle,test,"frog,horse,railing",0.25,test_response,turtle,vocab__turtle,NA
clip,1,vocab,vocab-item-084,typewriter,typewriter,test,"printer,sunglasses,drumstick",0.25,test_response,typewriter,vocab__typewriter,NA
clip,1,vocab,vocab-item-085,watermelon,watermelon,test,"screwdriver,strawberry,crane",0.25,test_response,watermelon,vocab__watermelon,NA
clip,1,vocab,vocab-item-086,waterwheel,waterwheel,test,"pinwheel,target,boa",0.25,test_response,waterwheel,vocab__waterwheel,NA
clip,1,vocab,vocab-item-087,ant,ant,catch,"muffin,raspberry,mint",0.25,test_response,ant,vocab__ant,NA
clip,1,vocab,vocab-item-088,ball,ball,catch,"pen,peach,snack",0.25,test_response,ball,vocab__ball,-4.4474
clip,1,vocab,vocab-item-089,bear,bear,catch,"mirror,saw,bell",0.25,test_response,bear,vocab__bear,-4.5134
clip,1,vocab,vocab-item-090,duck,duck,practice,"tongue,ladder,snake",0.25,test_response,duck,vocab__duck,NA
clip,1,vocab,vocab-item-091,fork,fork,practice,"crow,wagon,bead",0.25,test_response,fork,vocab__fork,NA
clip,1,vocab,vocab-item-092,kitten,kitten,practice,"wrist,pillow,mattress",0.25,test_response,kitten,vocab__kitten,NA
clip,1,vocab,vocab-item-093,knee,knee,practice,"face,leash,sock",0.25,test_response,knee,vocab__knee,NA
clip,1,vocab,vocab-item-094,milkshake,milkshake,practice,"pan,needle,gate",0.25,test_response,milkshake,vocab__milkshake,NA
clip,1,vocab,vocab-item-095,skin,skin,practice,"cardboard,drum,clock",0.25,test_response,skin,vocab__skin,NA
clip,1,vocab,vocab-item-096,wall,wall,practice,"knob,sponge,robot",0.25,test_response,wall,vocab__wall,NA
clip,1,vocab,vocab-item-097,wheel,wheel,practice,"fish,bowl,meat",0.25,test_response,wheel,vocab__wheel,NA
manual,1,vocab,vocab-item-098,farm,farm,test,"zoo,park,forest",0.25,test_response,farm,vocab__farm,NA
manual,1,vocab,vocab-item-099,juggling,juggling,test,"running,biking,playing",0.25,test_response,juggling,vocab__juggling,NA
manual,1,vocab,vocab-item-100,dressing,dressing,test,"juice,ketchup,flour",0.25,test_response,dressing,vocab__dressing,-1.4867
manual,1,vocab,vocab-item-101,roof,roof,test,"stairs,door,fence",0.25,test_response,roof,vocab__roof,-3.2605
manual,1,vocab,vocab-item-102,peeking,peeking,test,"reading,playing,surfing",0.25,test_response,peeking,vocab__peeking,-3.2487
manual,1,vocab,vocab-item-103,ruler,ruler,test,"measuringtape,compass,caliper",0.25,test_response,ruler,vocab__ruler,NA
manual,1,vocab,vocab-item-104,tunnel,tunnel,test,"pathway,waterway,cavern",0.25,test_response,tunnel,vocab__tunnel,NA
manual,1,vocab,vocab-item-105,envelope,envelope,test,"checkbook,stamp,notecard",0.25,test_response,envelope,vocab__envelope,-1.9725
manual,1,vocab,vocab-item-106,diamond,diamond,test,"ring,emerald,amethyst",0.25,test_response,diamond,vocab__diamond,-2.3706
manual,1,vocab,vocab-item-107,calendar,calendar,test,"hourglass,sundial,notebook",0.25,test_response,calendar,vocab__calendar,-3.7755
manual,1,vocab,vocab-item-108,panda,panda,test,"koala,pig,zebra",0.25,test_response,panda,vocab__panda,-4.0549
manual,1,vocab,vocab-item-109,arrow,arrow,test,"bow,feather,stick",0.25,test_response,arrow,vocab__arrow,-0.8274
manual,1,vocab,vocab-item-110,picking,picking,test,"jumping,dancing,kneading",0.25,test_response,picking,vocab__picking,-2.9949
manual,1,vocab,vocab-item-111,dripping,dripping,test,"pouring,flowing,splashing",0.25,test_response,dripping,vocab__dripping,-2.0478
manual,1,vocab,vocab-item-112,knight,knight,test,"pirate,king,astronaut",0.25,test_response,knight,vocab__knight,NA
manual,1,vocab,vocab-item-113,delivering,delivering,test,"opening,building,connecting",0.25,test_response,delivering,vocab__delivering,-2.0659
manual,1,vocab,vocab-item-114,dentist,dentist,test,"doctor,pharmacist,scientist",0.25,test_response,dentist,vocab__dentist,-2.8296
manual,1,vocab,vocab-item-115,claw,claw,test,"hook,pincer,hammer",0.25,test_response,claw,vocab__claw,1.2205
manual,1,vocab,vocab-item-116,uniform,uniform,test,"costume,suit,dress",0.25,test_response,uniform,vocab__uniform,-0.7776
manual,1,vocab,vocab-item-117,furry,furry,test,"hairy,fluffy,silky",0.25,test_response,furry,vocab__furry,-2.5384
dutch,1,vocab,vocab-item-118,cormorant,cormorant,test,"eel,narwhal,turtle",0.25,test_response,cormorant,vocab__cormorant,0.2287
dutch,1,vocab,vocab-item-119,fetch,fetch,test,"jump,fight,sit",0.25,test_response,fetch,vocab__fetch,-1.9109
dutch,1,vocab,vocab-item-120,arcade,arcade,test,"bellows,highvoltage,pier",0.25,test_response,arcade,vocab__arcade,1.1624
dutch,1,vocab,vocab-item-121,artifact,artifact,test,"honeycomb,crystal,herringbone",0.25,test_response,artifact,vocab__artifact,-0.6754
dutch,1,vocab,vocab-item-122,aversion,aversion,test,"dull,neutral,delighted",0.25,test_response,aversion,vocab__aversion,2.1663
dutch,1,vocab,vocab-item-123,beret,beret,test,"hat,chefshat,safarihat",0.25,test_response,beret,vocab__beret,-0.5061
dutch,1,vocab,vocab-item-124,applaud,applaud,test,"yawn,stare,nurse",0.25,test_response,applaud,vocab__applaud,NA
dutch,1,vocab,vocab-item-125,timid,timid,test,"interested,excited,pensive",0.25,test_response,timid,vocab__timid,2.1653
dutch,1,vocab,vocab-item-126,camp,camp,test,"march,paint,steal",0.25,test_response,camp,vocab__camp,-3.6868
dutch,1,vocab,vocab-item-127,tumble,tumble,test,"applaud,chisel,scythes",0.25,test_response,tumble,vocab__tumble,-1.2288
dutch,1,vocab,vocab-item-128,concentric,concentric,test,"oneabovetheother,smallinside,oneachother",0.25,test_response,concentric,vocab__concentric,0.2894
dutch,1,vocab,vocab-item-129,confectionery,confectionery,test,"confectionerymaterial,tools,food",0.25,test_response,confectionery,vocab__confectionery,NA
dutch,1,vocab,vocab-item-130,couturier,couturier,test,"marketseller,matador,streetartist",0.25,test_response,couturier,vocab__couturier,2.2127
dutch,1,vocab,vocab-item-131,degression,degression,test,"fluctuation,progression,stagnation",0.25,test_response,degression,vocab__degression,1.261
dutch,1,vocab,vocab-item-132,divan,divan,test,"butterdish,handrail,lintroller",0.25,test_response,divan,vocab__divan,NA
dutch,1,vocab,vocab-item-133,wetland,wetland,test,"field,dune,meadow",0.25,test_response,wetland,vocab__wetland,-1.2814
dutch,1,vocab,vocab-item-134,baywindow,baywindow,test,"threshhold,drapery,capital",0.25,test_response,baywindow,vocab__baywindow,0.7852
dutch,1,vocab,vocab-item-135,aesthete,aesthete,test,"bloodpressuremeasurement,philatelist,researcher",0.25,test_response,aesthete,vocab__aesthete,NA
dutch,1,vocab,vocab-item-136,ecstatic,ecstatic,test,"sleep,sad,tired",0.25,test_response,ecstatic,vocab__ecstatic,0.514
dutch,1,vocab,vocab-item-137,rickety,rickety,test,"dusk,vacationhome,skyscraper",0.25,test_response,rickety,vocab__rickety,-1.7795
dutch,1,vocab,vocab-item-138,gourmet,gourmet,test,"archaeological,astronomical,surgical",0.25,test_response,gourmet,vocab__gourmet,-1.9157
dutch,1,vocab,vocab-item-139,gesticulate,gesticulate,test,"listen,pose,hide",0.25,test_response,gesticulate,vocab__gesticulate,3.6938
dutch,1,vocab,vocab-item-140,facade,facade,test,"glacier,interior,fog",0.25,test_response,facade,vocab__facade,4.4412
dutch,1,vocab,vocab-item-141,slope,slope,test,"gap,sky,flat",0.25,test_response,slope,vocab__slope,-0.05
dutch,1,vocab,vocab-item-142,habit,habit,test,"divinghelmet,chasuble,mail",0.25,test_response,habit,vocab__habit,2.1081
dutch,1,vocab,vocab-item-143,intersection,intersection,test,"monastery,avenue,level",0.25,test_response,intersection,vocab__intersection,-0.4879
dutch,1,vocab,vocab-item-144,irrigation,irrigation,test,"hydroterm,dump,repot",0.25,test_response,irrigation,vocab__irrigation,1.6923
dutch,1,vocab,vocab-item-145,kazoo,kazoo,test,"cabasa,mandolin,rainstick",0.25,test_response,kazoo,vocab__kazoo,-0.6981
dutch,1,vocab,vocab-item-146,chat,chat,test,"mountaineering,horseriding,referee",0.25,test_response,chat,vocab__chat,-3.196
dutch,1,vocab,vocab-item-147,colony,colony,test,"herd,pack,school",0.25,test_response,colony,vocab__colony,NA
dutch,1,vocab,vocab-item-148,preserve,preserve,test,"grilling,heels,peel",0.25,test_response,preserve,vocab__preserve,-0.6314
dutch,1,vocab,vocab-item-149,awning,awning,test,"lighter,pouch,folder",0.25,test_response,awning,vocab__awning,-1.3186
dutch,1,vocab,vocab-item-150,mammalogy,mammalogy,test,"entomology,herpetology,ichthyology",0.25,test_response,mammalogy,vocab__mammalogy,2.5801
dutch,1,vocab,vocab-item-151,metronome,metronome,test,"electricitymeter,protractor,voltmeter",0.25,test_response,metronome,vocab__metronome,1.0115
dutch,1,vocab,vocab-item-152,paleontologist,paleontologist,test,"labtechnician,surveyor,roadworker",0.25,test_response,paleontologist,vocab__paleontologist,-0.6156
dutch,1,vocab,vocab-item-153,percussion,percussion,test,"accordion,cello,musicstand",0.25,test_response,percussion,vocab__percussion,1.9276
dutch,1,vocab,vocab-item-154,posterior,posterior,test,"frontal,inferior,lateral",0.25,test_response,posterior,vocab__posterior,1.2671
dutch,1,vocab,vocab-item-155,precarious,precarious,test,"cheerful,taiqi,readaloud",0.25,test_response,precarious,vocab__precarious,0.9546
dutch,1,vocab,vocab-item-156,arbor,arbor,test,"castle,barn,tipi",0.25,test_response,arbor,vocab__arbor,1.4844
dutch,1,vocab,vocab-item-157,resuscitation,resuscitation,test,"breathing,pipetting,measurevolts",0.25,test_response,resuscitation,vocab__resuscitation,0.766
dutch,1,vocab,vocab-item-158,rosette,rosette,test,"brooch,manholecover,roseball",0.25,test_response,rosette,vocab__rosette,0.3278
dutch,1,vocab,vocab-item-159,saffron,saffron,test,"cinnamon,clove,staranise",0.25,test_response,saffron,vocab__saffron,1.8776
dutch,1,vocab,vocab-item-160,mischievous,mischievous,test,"irritated,headaches,suprised",0.25,test_response,mischievous,vocab__mischievous,0.2874
dutch,1,vocab,vocab-item-161,skimmer,skimmer,test,"pastaspoon,spatula,strainer",0.25,test_response,skimmer,vocab__skimmer,4.5504
dutch,1,vocab,vocab-item-162,sedentary,sedentary,test,"proposal,effort,tripod",0.25,test_response,sedentary,vocab__sedentary,1.3989
dutch,1,vocab,vocab-item-163,suede,suede,test,"jeans,cotton,silk",0.25,test_response,suede,vocab__suede,NA
dutch,1,vocab,vocab-item-164,turnstile,turnstile,test,"wiper,scalpel,weathervane",0.25,test_response,turnstile,vocab__turnstile,NA
dutch,1,vocab,vocab-item-165,triad,triad,test,"duo,myriad,quartet",0.25,test_response,triad,vocab__triad,2.1904
dutch,1,vocab,vocab-item-166,dredging,dredging,test,"mow,deforestation,saltextraction",0.25,test_response,dredging,vocab__dredging,1.8884
dutch,1,vocab,vocab-item-167,urban,urban,test,"village,maritime,rural",0.25,test_response,urban,vocab__urban,2.9118
dutch,1,vocab,vocab-item-168,steam,steam,test,"pottery,rust,blacksmith",0.25,test_response,steam,vocab__steam,-1.4323
dutch,1,vocab,vocab-item-169,vertebra,vertebra,test,"leg,hip,skull",0.25,test_response,vertebra,vocab__vertebra,1.1865
dutch,1,vocab,vocab-item-170,bandage,bandage,test,"stretcher,bagbinder,mop",0.25,test_response,bandage,vocab__bandage,-3.1142
